,时间,赵辛店村,赵辛店村_root,相对偏差
359,2018-12-03 01:00:00,181.52960710053912,91.2,0.9904562182076657
360,2018-12-03 00:00:00,186.93957074515515,94.1,0.9866054276849645
361,2018-12-02 23:00:00,178.43041413747164,94.0,0.8981958950794856
363,2018-12-02 21:00:00,214.3632455642115,96.4,1.2236851199607
364,2018-12-02 20:00:00,224.42958577637572,96.4,1.3281077362694576
365,2018-12-02 19:00:00,212.9002164427907,93.9,1.2673079493374941
366,2018-12-02 18:00:00,222.76182369672713,93.1,1.3927156143579715
367,2018-12-02 17:00:00,219.3458593665695,104.6,1.0969967434662478
368,2018-12-02 16:00:00,225.8137494179978,108.0,1.0908680501666463
369,2018-12-02 15:00:00,211.90080168845148,106.3,0.9934224053476151
370,2018-12-02 14:00:00,194.605779470439,109.9,0.7707532253907096
371,2018-12-02 13:00:00,194.31126176534204,106.5,0.8245188898154182
372,2018-12-02 12:00:00,178.73381851186556,101.8,0.7557349559122355
373,2018-12-02 11:00:00,183.85976955004443,106.6,0.7247633166045445
374,2018-12-02 10:00:00,188.45762740455152,108.6,0.7353372689185224
375,2018-12-02 09:00:00,190.97325155380318,102.8,0.857716454803533
376,2018-12-02 08:00:00,198.2164081447967,95.3,1.0799203373011197
377,2018-12-02 07:00:00,199.60394096553637,96.7,1.0641565766860017
378,2018-12-02 06:00:00,205.49455103900155,94.4,1.1768490576165418
379,2018-12-02 05:00:00,197.0675068845892,93.1,1.1167293972565973
380,2018-12-02 04:00:00,196.83430252843291,100.6,0.956603404855198
381,2018-12-02 03:00:00,214.55768938104708,105.4,1.0356517019074676
382,2018-12-02 02:00:00,235.09959655428557,107.6,1.1849404884227284
383,2018-12-02 01:00:00,226.34906388852815,105.7,1.1414291758611934
384,2018-12-02 00:00:00,222.1506122661274,107.3,1.0703691730300784
385,2018-12-01 23:00:00,218.58314482711896,108.4,1.0164496755269274
386,2018-12-01 22:00:00,221.65723064341967,111.2,0.9933204194552128
387,2018-12-01 21:00:00,222.0177132963968,112.1,0.9805326788260198
388,2018-12-01 20:00:00,210.86529332345117,111.8,0.8860938579915132
