,时间,丰台街道,丰台街道_root,相对偏差
379,2018-12-02 05:00:00,179.86289162587582,176.0,0.021948247874294422
380,2018-12-02 04:00:00,159.92184541317573,151.6,0.05489343940089536
381,2018-12-02 03:00:00,178.29368765963665,164.2,0.08583244616100279
382,2018-12-02 02:00:00,189.61272741121408,172.4,0.09984180632954799
383,2018-12-02 01:00:00,201.68206989307558,173.8,0.16042617890147046
384,2018-12-02 00:00:00,206.99535218595122,181.5,0.14047025997769266
385,2018-12-01 23:00:00,209.74560828379327,180.5,0.1620255306581345
386,2018-12-01 22:00:00,207.56582704228725,172.6,0.2025830071974928
387,2018-12-01 21:00:00,213.35227795932963,182.0,0.17226526351280014
388,2018-12-01 20:00:00,220.73151007033533,194.8,0.1331186348579842
389,2018-12-01 19:00:00,225.30490229755767,202.8,0.11097091862701017
390,2018-12-01 18:00:00,230.34476948645994,200.6,0.14827901040109642
391,2018-12-01 17:00:00,234.6983278673694,210.0,0.11761108508271136
392,2018-12-01 16:00:00,198.67467027125036,175.7,0.13076078697353657
393,2018-12-01 15:00:00,183.82496200489737,162.2,0.13332282370466944
394,2018-12-01 14:00:00,185.6846087243549,164.6,0.12809604328283655
395,2018-12-01 13:00:00,187.23543355680198,164.1,0.14098375110787317
396,2018-12-01 12:00:00,174.20325134386314,156.6,0.11240901241291923
397,2018-12-01 11:00:00,124.7915796285204,111.6,0.11820411853512905
398,2018-12-01 10:00:00,93.90200311734145,86.2,0.08935038419189614
399,2018-12-01 09:00:00,93.64302731798995,87.1,0.07512086473007983
400,2018-12-01 08:00:00,90.73210083245938,89.6,0.012635053933698508
401,2018-12-01 07:00:00,91.56352228386986,88.9,0.029960880583462905
402,2018-12-01 06:00:00,96.21618834055148,91.6,0.05039506921999442
403,2018-12-01 05:00:00,103.68370088918964,104.1,0.0039990308435192785
404,2018-12-01 04:00:00,111.29672853240787,103.8,0.0722228182312897
405,2018-12-01 03:00:00,116.2204372523339,107.3,0.08313548231438861
406,2018-12-01 02:00:00,120.37500257865902,110.1,0.09332427410226184
407,2018-12-01 01:00:00,123.73017523729638,116.0,0.06663944170083086
408,2018-12-01 00:00:00,132.2057312793182,121.1,0.09170711213309832
409,2018-11-30 23:00:00,139.59505537108913,130.1,0.07298274689538153
410,2018-11-30 22:00:00,149.44289297664196,144.2,0.03635848111402198
411,2018-11-30 21:00:00,150.97696087207115,140.4,0.07533447914580584
412,2018-11-30 20:00:00,146.63104853467178,135.3,0.08374758710030868
413,2018-11-30 19:00:00,141.70876322719153,129.0,0.09851754439683354
414,2018-11-30 18:00:00,142.00991708761205,130.4,0.08903310650009238
415,2018-11-30 17:00:00,138.38583668415188,128.5,0.07693258119962555
416,2018-11-30 16:00:00,130.34849892920633,120.5,0.081730281570177
417,2018-11-30 15:00:00,122.78399593477812,110.4,0.11217387622081623
418,2018-11-30 14:00:00,120.89194907436298,112.0,0.0793924024496695
419,2018-11-30 13:00:00,113.29137923115056,101.8,0.11288191779126287
420,2018-11-30 12:00:00,98.56295760973059,86.1,0.14474979802242272
421,2018-11-30 11:00:00,87.2862781357494,76.5,0.14099709981371764
422,2018-11-30 10:00:00,83.08069767988157,71.5,0.16196779971862332
423,2018-11-30 09:00:00,82.54484650323916,71.4,0.1560902871602122
424,2018-11-30 08:00:00,79.55354563510448,70.3,0.1316293831451563
425,2018-11-30 07:00:00,81.52240055427008,75.2,0.08407447545571908
426,2018-11-30 06:00:00,86.21510816470028,77.8,0.10816334401928387
427,2018-11-30 05:00:00,84.67331535477928,75.5,0.12150086562621558
428,2018-11-30 04:00:00,83.35929323436105,68.0,0.22587195932883894
429,2018-11-30 03:00:00,83.90875927129278,69.4,0.20905993186300825
430,2018-11-30 02:00:00,85.89060391613069,74.1,0.15911746175614971
431,2018-11-30 01:00:00,89.69507029183512,77.6,0.1558643078844733
432,2018-11-30 00:00:00,86.11718246642614,75.3,0.14365448162584524
433,2018-11-29 23:00:00,80.77744395016529,73.4,0.10051013556083496
434,2018-11-29 22:00:00,77.18634148064359,67.4,0.1451979448166704
435,2018-11-29 21:00:00,76.59960187189726,66.7,0.14841981816937422
436,2018-11-29 20:00:00,73.03051868209184,60.0,0.2171753113681973
437,2018-11-29 19:00:00,71.90947524474812,57.9,0.24195984878666882
438,2018-11-29 18:00:00,70.11593516840591,57.2,0.22580306238471867
439,2018-11-29 17:00:00,73.14664721684991,59.5,0.22935541540924226
440,2018-11-29 16:00:00,74.45842750506742,60.8,0.2246451892280826
441,2018-11-29 15:00:00,72.17057584671846,58.1,0.24217858600203893
442,2018-11-29 14:00:00,65.85128044308738,50.8,0.29628504809227124
443,2018-11-29 13:00:00,67.08461079980952,53.0,0.2657473735813118
444,2018-11-29 12:00:00,63.63199475110966,48.8,0.30393431867028
445,2018-11-29 11:00:00,65.79684791955668,48.6,0.3538446073982856
446,2018-11-29 10:00:00,64.74782066559533,52.4,0.2356454325495292
447,2018-11-29 09:00:00,70.8772490925933,50.9,0.3924803358073341
448,2018-11-29 08:00:00,69.48184909189621,46.4,0.4974536442219011
449,2018-11-29 07:00:00,58.358776264117935,45.0,0.29686169475817636
450,2018-11-29 06:00:00,69.81734593051323,50.8,0.37435720335655964
451,2018-11-29 05:00:00,81.51685661592305,52.7,0.5468094234520501
452,2018-11-29 04:00:00,84.15164674995115,53.5,0.572927976634601
453,2018-11-29 03:00:00,86.26608746938342,55.6,0.5515483357802773
454,2018-11-29 02:00:00,78.91018877849184,54.0,0.4612997921942934
455,2018-11-29 01:00:00,79.87121191283808,54.8,0.4575038670225927
456,2018-11-29 00:00:00,82.0205216630268,56.2,0.45943988724246965
