,时间,大红门街道,大红门街道_root,相对偏差
194,2018-12-09 22:00:00,102.48581336892691,105.6,0.02949040370334358
195,2018-12-09 21:00:00,103.23473777337988,107.0,0.03518936660392639
196,2018-12-09 20:00:00,102.36864825387069,110.0,0.06937592496481193
197,2018-12-09 19:00:00,103.85629991696226,107.6,0.034792751701094214
198,2018-12-09 18:00:00,90.14849253841105,99.9,0.09761268730319277
199,2018-12-09 17:00:00,86.39369044333642,85.0,0.016396358156899115
200,2018-12-09 16:00:00,77.2510300143904,84.7,0.08794533631180175
201,2018-12-09 15:00:00,68.53885715851975,79.4,0.13679021210932316
202,2018-12-09 14:00:00,56.57795555570059,59.7,0.05229555183081092
203,2018-12-09 13:00:00,33.7236739563963,39.2,0.13970219498989045
204,2018-12-09 12:00:00,29.875652012350386,31.6,0.05456797429270934
205,2018-12-09 11:00:00,30.968296374290006,36.2,0.14452219960524854
206,2018-12-09 10:00:00,19.97564735924602,62.8,0.6819164433241078
207,2018-12-09 09:00:00,27.295607381165677,79.1,0.6549227891129497
208,2018-12-09 08:00:00,22.52151440580573,73.1,0.6919081476633963
209,2018-12-09 07:00:00,20.25409832641343,73.6,0.7248084466519915
210,2018-12-09 06:00:00,22.70807439636572,73.6,0.6914663804841614
211,2018-12-09 05:00:00,21.51522722460738,69.5,0.6904283852574478
212,2018-12-09 04:00:00,21.344893871232504,68.6,0.6888499435680393
213,2018-12-09 03:00:00,20.072075466150658,68.2,0.7056880430183188
214,2018-12-09 02:00:00,19.263933442356326,67.0,0.7124786053379653
215,2018-12-09 01:00:00,11.763766264016413,63.9,0.8159035013455961
217,2018-12-08 23:00:00,39.296131227029576,50.9,0.22797384622731676
218,2018-12-08 22:00:00,9.150464770818632,47.6,0.8077633451508691
219,2018-12-08 21:00:00,7.888841462134108,42.7,0.8152496144699272
220,2018-12-08 20:00:00,6.694946126291505,36.3,0.815566222416212
221,2018-12-08 19:00:00,6.755146494863565,31.4,0.7848679460234532
