,时间,东高地街道,东高地街道_root,相对偏差
413,2018-11-30 19:00:00,148.45393250363725,79.3,0.8720546343459931
414,2018-11-30 18:00:00,140.9196070640267,75.1,0.8764261925968937
415,2018-11-30 17:00:00,135.029121921081,71.6,0.8858815910765506
416,2018-11-30 16:00:00,129.60508522856546,66.3,0.9548278315017416
417,2018-11-30 15:00:00,126.91396384121617,66.1,0.9200297101545565
418,2018-11-30 14:00:00,121.92469916775595,66.1,0.8445491553367013
419,2018-11-30 13:00:00,106.62570560858042,59.6,0.7890219061842352
420,2018-11-30 12:00:00,86.311722026193,53.1,0.6254561586853671
421,2018-11-30 11:00:00,78.65186526740199,52.2,0.5067407139349039
422,2018-11-30 10:00:00,81.02172380434608,54.1,0.49762890581046354
423,2018-11-30 09:00:00,75.30775120020954,54.1,0.39201018854361436
424,2018-11-30 08:00:00,81.99451513842932,54.1,0.5156102613388044
425,2018-11-30 07:00:00,74.83192382705055,52.4,0.42809014937119366
426,2018-11-30 06:00:00,75.32547345493535,52.0,0.4485667972102952
427,2018-11-30 05:00:00,75.15737620744859,52.7,0.42613617091932804
428,2018-11-30 04:00:00,76.68763911152783,52.3,0.46630285108083813
429,2018-11-30 03:00:00,76.01787317302681,52.6,0.4452067143160991
430,2018-11-30 02:00:00,74.59092414215941,51.2,0.4568539871515509
431,2018-11-30 01:00:00,73.9931821458963,50.8,0.45655870365937606
432,2018-11-30 00:00:00,66.3905615957242,48.7,0.36325588492246796
433,2018-11-29 23:00:00,61.454829890385476,46.8,0.31313739082020253
434,2018-11-29 22:00:00,58.06887816928563,45.6,0.27344031072994807
435,2018-11-29 21:00:00,50.86763955793653,41.3,0.231661974768439
436,2018-11-29 20:00:00,47.986502937069595,39.9,0.20266924654309768
437,2018-11-29 19:00:00,49.17505615070346,40.0,0.22937640376758656
438,2018-11-29 18:00:00,52.61256602094708,43.7,0.20394887919787355
439,2018-11-29 17:00:00,49.47007751226192,41.3,0.1978227000547682
440,2018-11-29 16:00:00,46.10157879529769,37.9,0.21640049591814492
441,2018-11-29 15:00:00,46.475494672459,39.8,0.16772599679545233
442,2018-11-29 14:00:00,46.37963758599327,37.2,0.2467644512363782
443,2018-11-29 13:00:00,49.156600753201516,40.1,0.22585039284791808
444,2018-11-29 12:00:00,47.81650524761834,39.3,0.21670496813278223
445,2018-11-29 11:00:00,48.60566554532051,37.7,0.28927494815173765
446,2018-11-29 10:00:00,43.946005591929556,36.8,0.19418493456330324
447,2018-11-29 09:00:00,38.16192628402949,32.7,0.16703138483270605
451,2018-11-29 05:00:00,46.74604607261329,36.9,0.2668305168729889
452,2018-11-29 04:00:00,55.41106576303645,44.0,0.2593424037053738
453,2018-11-29 03:00:00,61.59415248420572,44.6,0.38103480906290854
454,2018-11-29 02:00:00,62.00143555993137,45.3,0.3686851116982644
455,2018-11-29 01:00:00,63.11190176732081,46.3,0.363108029531767
456,2018-11-29 00:00:00,61.12741893189639,46.4,0.31740127008397406
457,2018-11-28 23:00:00,58.67026440585806,44.5,0.3184329079968104
458,2018-11-28 22:00:00,55.708491596644045,43.7,0.2747938580467744
459,2018-11-28 21:00:00,51.916918622518224,42.4,0.22445562788958082
460,2018-11-28 20:00:00,50.05050627749834,39.2,0.27679862952801887
461,2018-11-28 19:00:00,45.841711383405865,36.8,0.24569867889689861
462,2018-11-28 18:00:00,41.514781766396595,32.4,0.28132042488878384
