,时间,方庄地区,方庄地区_root,相对偏差
528,2018-11-26 00:00:00,152.31094119367637,74.4,1.0471900698074779
529,2018-11-25 23:00:00,135.8365911843864,71.0,0.9131914251322029
530,2018-11-25 22:00:00,154.31189453678508,68.8,1.2429054438486205
531,2018-11-25 21:00:00,136.96606774859225,68.9,0.9878964840144012
532,2018-11-25 20:00:00,118.28437025493581,65.3,0.8113992382072865
533,2018-11-25 19:00:00,83.7130611561158,52.4,0.5975775029793092
534,2018-11-25 18:00:00,65.86208380118386,46.3,0.4225072095288091
535,2018-11-25 17:00:00,58.09353500631662,42.0,0.3831794049123005
536,2018-11-25 16:00:00,52.03437700934919,41.7,0.24782678679494458
537,2018-11-25 15:00:00,56.79221832900248,44.5,0.2762296253708423
538,2018-11-25 14:00:00,51.68428481487447,40.5,0.27615518061418437
539,2018-11-25 13:00:00,50.075001768441474,38.8,0.2905928290835432
540,2018-11-25 12:00:00,52.79706296531058,39.0,0.35377084526437386
541,2018-11-25 11:00:00,62.57818907321161,46.2,0.35450625699592225
542,2018-11-25 10:00:00,78.24341132878301,51.8,0.5104905661927223
543,2018-11-25 09:00:00,80.70613587998635,51.8,0.5580335111966478
544,2018-11-25 08:00:00,88.66065525208337,59.3,0.49512066192383436
545,2018-11-25 07:00:00,94.94590128371418,63.2,0.5023085646157306
546,2018-11-25 06:00:00,107.80879817641299,64.3,0.6766531598197978
547,2018-11-25 05:00:00,129.32542600793872,76.6,0.6883214883542914
548,2018-11-25 04:00:00,144.39205873432115,71.9,1.0082344747471648
549,2018-11-25 03:00:00,157.41848238527797,73.4,1.1446659725514707
550,2018-11-25 02:00:00,161.60314371110903,79.9,1.0225675057710766
551,2018-11-25 01:00:00,165.2960087956843,80.0,1.0662001099460536
552,2018-11-25 00:00:00,169.47408017642437,80.2,1.1131431443444433
553,2018-11-24 23:00:00,157.4310072180942,82.2,0.9152190659135547
554,2018-11-24 22:00:00,158.68932256587442,89.0,0.78302609624578
555,2018-11-24 21:00:00,146.90932070677246,98.2,0.49602159579198024
556,2018-11-24 20:00:00,153.05363597006732,102.0,0.5005258428437972
557,2018-11-24 19:00:00,149.9759434085074,94.6,0.5853693806396131
558,2018-11-24 18:00:00,151.21354208498562,89.5,0.689536783072465
559,2018-11-24 17:00:00,119.9435459184668,77.1,0.555688014506703
560,2018-11-24 16:00:00,90.42970625795934,62.7,0.44226006791003725
561,2018-11-24 15:00:00,105.15196869783549,72.7,0.4463819628312996
562,2018-11-24 14:00:00,103.17814160611358,67.1,0.5376772221477436
563,2018-11-24 13:00:00,103.31284487550097,67.3,0.5351091363373102
564,2018-11-24 12:00:00,86.67860168190767,56.4,0.5368546397501359
565,2018-11-24 11:00:00,66.59824936565465,42.1,0.5819061607043859
571,2018-11-24 05:00:00,48.422440420898624,39.4,0.22899594976900067
572,2018-11-24 04:00:00,69.66836016649678,50.9,0.3687300622101529
573,2018-11-24 03:00:00,79.59873040658398,53.8,0.4795303049550927
574,2018-11-24 02:00:00,87.73571122022669,56.8,0.5446428031730052
575,2018-11-24 01:00:00,84.52073367991518,54.0,0.5651987718502811
576,2018-11-24 00:00:00,84.60677043366528,45.8,0.8473093981149624
577,2018-11-23 23:00:00,80.34405741681648,51.4,0.5631139575256126
578,2018-11-23 22:00:00,94.03353317879616,54.2,0.7349360365091542
579,2018-11-23 21:00:00,91.38303211170054,56.3,0.6231444424813597
580,2018-11-23 20:00:00,88.93402490973187,52.5,0.6939814268520357
581,2018-11-23 19:00:00,85.50533109741455,52.5,0.6286729732840868
582,2018-11-23 18:00:00,86.0199503411294,51.2,0.6800771551001835
583,2018-11-23 17:00:00,85.48933082319539,52.7,0.6221884406678441
584,2018-11-23 16:00:00,74.28777504716344,52.7,0.40963520013592847
585,2018-11-23 15:00:00,61.99790240790294,49.0,0.2652633144469988
586,2018-11-23 14:00:00,53.819621133064054,43.2,0.24582456326537153
587,2018-11-23 13:00:00,45.552628872391765,40.7,0.1192292106238762
588,2018-11-23 12:00:00,40.49761784055256,37.2,0.08864564087506867
589,2018-11-23 11:00:00,35.15934224094411,34.3,0.025053709648516505
590,2018-11-23 10:00:00,44.94824983536269,36.6,0.2280942577967947
591,2018-11-23 09:00:00,55.44163492050136,39.8,0.3930059025251598
592,2018-11-23 08:00:00,66.95612552475039,44.7,0.497899899882559
593,2018-11-23 07:00:00,71.21998829935296,50.5,0.41029679800698937
594,2018-11-23 06:00:00,76.02019451015403,55.6,0.3672696854344249
595,2018-11-23 05:00:00,75.9113672151582,57.8,0.31334545354944976
596,2018-11-23 04:00:00,70.51016348211438,51.6,0.3664760364750848
597,2018-11-23 03:00:00,70.3419890663159,53.3,0.31973713070011084
598,2018-11-23 02:00:00,71.39873158689832,53.3,0.339563444407098
599,2018-11-23 01:00:00,66.21092132061145,50.4,0.31370875636133827
600,2018-11-23 00:00:00,59.49209500003568,45.5,0.3075185714293557
601,2018-11-22 23:00:00,47.83832363168292,35.8,0.33626602323136656
602,2018-11-22 22:00:00,45.84141548270966,34.6,0.32489640123438307
603,2018-11-22 21:00:00,42.277532025192976,30.0,0.40925106750643253
618,2018-11-22 06:00:00,49.68342428597704,35.3,0.40746244436195594
619,2018-11-22 05:00:00,57.15304220429141,43.8,0.30486397726692727
620,2018-11-22 04:00:00,51.6536273676491,41.2,0.2537288196031334
621,2018-11-22 03:00:00,51.61986506337089,39.5,0.306832026920782
622,2018-11-22 02:00:00,47.80041387018827,33.2,0.4397715021141045
624,2018-11-22 00:00:00,47.67906918623374,34.8,0.37008819500671675
625,2018-11-21 23:00:00,44.30574992657886,37.3,0.18782171384929935
626,2018-11-21 22:00:00,41.70372619366945,32.6,0.27925540471378685
627,2018-11-21 21:00:00,42.37296042585909,32.6,0.29978406214291686
643,2018-11-21 05:00:00,45.467353588731775,35.5,0.2807705236262472
644,2018-11-21 04:00:00,41.13821780357888,36.0,0.14272827232163562
645,2018-11-21 03:00:00,44.71099133304806,39.1,0.14350361465596048
646,2018-11-21 02:00:00,57.29811337275138,45.1,0.2704681457372811
647,2018-11-21 01:00:00,78.23093062685709,56.2,0.39200944175902286
648,2018-11-21 00:00:00,57.4342371711363,41.8,0.3740248127066102
664,2018-11-20 08:00:00,55.4538954979899,34.7,0.5980949711236281
665,2018-11-20 07:00:00,68.83860498327736,48.6,0.4164322013020033
666,2018-11-20 06:00:00,83.79397990641586,51.4,0.6302330721092579
667,2018-11-20 05:00:00,76.64177503541195,48.3,0.5867862326172248
668,2018-11-20 04:00:00,65.49421643860605,40.8,0.605250402907011
669,2018-11-20 03:00:00,55.81410217143177,35.6,0.5678118587480834
671,2018-11-20 01:00:00,53.26971614134281,30.8,0.729536238355286
672,2018-11-20 00:00:00,53.05283166335435,30.2,0.7567162802435214
674,2018-11-19 22:00:00,68.5410640362167,39.2,0.74849653153614
676,2018-11-19 20:00:00,81.80831456414785,51.0,0.6040845992970166
677,2018-11-19 19:00:00,116.76236129073479,63.5,0.8387773431611778
678,2018-11-19 18:00:00,110.55082829920532,59.4,0.8611250555421772
679,2018-11-19 17:00:00,104.21396676201955,57.5,0.8124168132525139
712,2018-11-18 08:00:00,46.05496653596468,37.5,0.22813244095905816
713,2018-11-18 07:00:00,62.94965729022348,47.7,0.3196993142604502
714,2018-11-18 06:00:00,68.22153134384855,48.6,0.40373521283638997
715,2018-11-18 05:00:00,68.93576479915244,47.6,0.4482303529233705
716,2018-11-18 04:00:00,74.79935966990254,47.8,0.5648401604582123
717,2018-11-18 03:00:00,77.62037352873456,54.9,0.41385015535035635
718,2018-11-18 02:00:00,83.73589851993181,59.3,0.41207248768856347
719,2018-11-18 01:00:00,86.13773415170681,57.5,0.49804755046446625
720,2018-11-18 00:00:00,70.69632105647784,55.2,0.2807304539217
