,时间,卢沟桥乡,卢沟桥乡_root,相对偏差
311,2018-12-05 01:00:00,31.93127203588434,31.9,0.0009803146045248318
397,2018-12-01 11:00:00,124.2739850794286,86.0,0.4450463381328907
398,2018-12-01 10:00:00,84.68075944265826,70.9,0.1943689625198625
399,2018-12-01 09:00:00,89.72789798258121,68.9,0.30229169786039484
400,2018-12-01 08:00:00,90.01827978232079,68.7,0.3103097493787596
401,2018-12-01 07:00:00,91.10361522981387,68.7,0.3261079363873925
402,2018-12-01 06:00:00,100.33106407807367,70.5,0.42313566068189595
403,2018-12-01 05:00:00,91.93520320778507,67.8,0.3559764484924052
404,2018-12-01 04:00:00,118.57287281421006,85.5,0.38681722589719364
405,2018-12-01 03:00:00,125.7044815263309,88.2,0.42522087898334343
406,2018-12-01 02:00:00,122.13047769078561,90.5,0.34950804078216147
407,2018-12-01 01:00:00,118.23610478259728,92.0,0.28517505198475307
408,2018-12-01 00:00:00,116.97469886910967,97.7,0.1972845329489219
409,2018-11-30 23:00:00,140.8161593463646,113.9,0.23631395387501838
410,2018-11-30 22:00:00,159.01053693783993,113.5,0.40097389372546194
411,2018-11-30 21:00:00,172.4024772795654,115.3,0.495251320724765
412,2018-11-30 20:00:00,166.41807920432268,110.0,0.5128916291302061
413,2018-11-30 19:00:00,174.01028665005543,111.6,0.5592319592298874
414,2018-11-30 18:00:00,175.14733370900427,112.9,0.5513492799734656
415,2018-11-30 17:00:00,166.0960676019265,105.2,0.5788599581932177
416,2018-11-30 16:00:00,160.80183944565812,97.0,0.6577509221201868
417,2018-11-30 15:00:00,157.07273783243113,90.6,0.7336946780621538
418,2018-11-30 14:00:00,145.69086998446448,90.5,0.6098438672316517
419,2018-11-30 13:00:00,165.083135756311,86.8,0.9018794441971315
420,2018-11-30 12:00:00,107.25281481661924,72.3,0.48344142208325364
421,2018-11-30 11:00:00,93.12229076428454,61.7,0.5092753770548547
422,2018-11-30 10:00:00,91.14598328475523,62.1,0.4677291994324514
423,2018-11-30 09:00:00,83.36764810266041,59.8,0.39410782780368586
424,2018-11-30 08:00:00,83.43960628348925,61.0,0.3678623980899878
425,2018-11-30 07:00:00,88.80908947057642,62.5,0.4209454315292228
426,2018-11-30 06:00:00,88.43131857424945,67.0,0.319870426481335
427,2018-11-30 05:00:00,88.32955455768206,66.2,0.33428330147555974
428,2018-11-30 04:00:00,88.16552208999056,67.2,0.31198693586295473
429,2018-11-30 03:00:00,84.54587468896058,61.6,0.37249796572987953
430,2018-11-30 02:00:00,84.95343898280971,62.8,0.352761767242193
431,2018-11-30 01:00:00,100.09084336242779,66.9,0.4961262087059459
432,2018-11-30 00:00:00,96.45008789958268,67.4,0.43101020622526226
433,2018-11-29 23:00:00,78.03875045032405,61.4,0.27098942101504964
434,2018-11-29 22:00:00,75.94326919395175,60.3,0.25942403306719325
435,2018-11-29 21:00:00,72.99213468167757,58.6,0.24559956794671617
436,2018-11-29 20:00:00,67.72903373677276,55.0,0.23143697703223207
437,2018-11-29 19:00:00,67.38905478951938,55.0,0.22525554162762504
438,2018-11-29 18:00:00,69.07313217834073,53.6,0.2886778391481479
439,2018-11-29 17:00:00,78.16293143505482,55.7,0.40328422684119947
440,2018-11-29 16:00:00,82.40338851365547,55.0,0.4982434275210086
441,2018-11-29 15:00:00,73.87340994551309,52.2,0.41519942424354567
442,2018-11-29 14:00:00,67.3335169087594,48.2,0.39696093171700003
443,2018-11-29 13:00:00,64.86334462417506,46.6,0.3919172666131986
444,2018-11-29 12:00:00,59.23659440696679,43.6,0.35863748639832077
