,时间,马家堡街道,马家堡街道_root,相对偏差
209,2018-12-09 07:00:00,26.586007077830995,49.9,0.4672142870174149
210,2018-12-09 06:00:00,26.582337185292342,50.2,0.47047137081090956
211,2018-12-09 05:00:00,25.59726655575064,49.6,0.4839260775050274
212,2018-12-09 04:00:00,24.900521157861803,47.7,0.47797649564231026
213,2018-12-09 03:00:00,23.976029850158614,40.8,0.4123522095549359
214,2018-12-09 02:00:00,22.121586624872823,41.6,0.4682310907482495
215,2018-12-09 01:00:00,19.22521305361367,37.9,0.49273844185715915
288,2018-12-06 00:00:00,46.73425184292222,35.0,0.33526433836920627
289,2018-12-05 23:00:00,45.877446649547,36.8,0.24666974591160326
290,2018-12-05 22:00:00,62.97528359858943,44.0,0.431256445422487
291,2018-12-05 21:00:00,68.11355361850183,45.8,0.4871954938537517
292,2018-12-05 20:00:00,64.68156387200963,44.7,0.44701485172281047
293,2018-12-05 19:00:00,67.10847054047005,44.9,0.49462072473207247
294,2018-12-05 18:00:00,61.65183860000953,39.8,0.549041170854511
295,2018-12-05 17:00:00,56.55895148271317,34.9,0.6206003290175693
296,2018-12-05 16:00:00,48.73755832925207,35.3,0.38066737476634765
297,2018-12-05 15:00:00,47.3696792555333,33.4,0.4182538699261467
298,2018-12-05 14:00:00,45.045506983096345,32.5,0.38601559947988756
299,2018-12-05 13:00:00,50.627986490919994,38.6,0.3116058676404143
300,2018-12-05 12:00:00,51.730620211440815,33.2,0.5581512111879762
301,2018-12-05 11:00:00,49.9220087554549,30.7,0.6261240636955993
358,2018-12-03 02:00:00,142.9677557863469,51.8,1.7599952854507128
359,2018-12-03 01:00:00,186.31458193279096,66.2,1.8144196666584735
360,2018-12-03 00:00:00,194.8238034935169,88.2,1.2088866609242277
361,2018-12-02 23:00:00,198.72814625558942,90.6,1.1934673979645634
363,2018-12-02 21:00:00,199.63869085326152,79.8,1.5017379806173123
364,2018-12-02 20:00:00,208.3795059858251,86.5,1.4090116298939317
365,2018-12-02 19:00:00,205.523111165246,91.5,1.2461542203852023
366,2018-12-02 18:00:00,209.15982951399639,93.5,1.237003524213865
367,2018-12-02 17:00:00,213.03509390846543,95.8,1.22374837065204
368,2018-12-02 16:00:00,214.32273795866905,92.2,1.3245416264497727
369,2018-12-02 15:00:00,202.35829400342365,94.8,1.1345811603736673
370,2018-12-02 14:00:00,199.4821476107517,94.2,1.1176448790950286
371,2018-12-02 13:00:00,191.86970544822168,97.8,0.9618579289184221
372,2018-12-02 12:00:00,178.485628924335,94.0,0.8987832864290958
373,2018-12-02 11:00:00,177.5776531499704,92.0,0.9301918820648956
374,2018-12-02 10:00:00,185.343110717561,93.7,0.9780481399953147
375,2018-12-02 09:00:00,173.68611935694622,87.0,0.9963921765166233
376,2018-12-02 08:00:00,179.59288868610827,88.5,1.0292981772441612
377,2018-12-02 07:00:00,179.10489986388603,87.4,1.0492551471840506
378,2018-12-02 06:00:00,186.81777305505156,85.9,1.1748285571018806
379,2018-12-02 05:00:00,194.57362782315008,93.2,1.0876998693471038
380,2018-12-02 04:00:00,191.02646568857153,95.2,1.0065805219387765
381,2018-12-02 03:00:00,196.13401396898126,88.9,1.2062318781662682
382,2018-12-02 02:00:00,207.20159418239626,88.2,1.3492244238366922
383,2018-12-02 01:00:00,197.92449436359237,92.1,1.1490173112225015
384,2018-12-02 00:00:00,204.32367231665611,97.2,1.102095394204281
