,时间,右安门街道,右安门街道_root,相对偏差
528,2018-11-26 00:00:00,160.16807382265065,76.0,1.1074746555611927
529,2018-11-25 23:00:00,148.64974541873397,73.0,1.0362978824484106
530,2018-11-25 22:00:00,151.00938102346453,71.4,1.1149773252586066
531,2018-11-25 21:00:00,150.13998603977373,70.0,1.144856943425339
532,2018-11-25 20:00:00,127.85437051342834,61.8,1.0688409468192288
533,2018-11-25 19:00:00,101.03304676755997,51.3,0.9694551026814809
534,2018-11-25 18:00:00,72.09668253973061,43.4,0.6612138834039312
535,2018-11-25 17:00:00,65.82917319939983,40.6,0.6214082068817692
536,2018-11-25 16:00:00,67.39756289177755,39.9,0.6891619772375327
537,2018-11-25 15:00:00,82.97310550112317,46.4,0.7882134806276546
538,2018-11-25 14:00:00,77.84206253231764,45.3,0.7183678263204778
539,2018-11-25 13:00:00,59.07213547258658,34.1,0.7323206883456475
540,2018-11-25 12:00:00,65.31193539205285,37.6,0.7370195582992778
541,2018-11-25 11:00:00,74.36285360003981,42.0,0.7705441333342813
542,2018-11-25 10:00:00,85.89500458332274,50.2,0.71105586819368
543,2018-11-25 09:00:00,92.02004593163763,52.6,0.7494305310197267
544,2018-11-25 08:00:00,95.9925040597244,51.8,0.8531371440101236
545,2018-11-25 07:00:00,93.12468031756173,53.7,0.7341653690421177
546,2018-11-25 06:00:00,90.08123839332384,52.2,0.7256942220943264
547,2018-11-25 05:00:00,118.26776532815502,60.8,0.9451935086867603
548,2018-11-25 04:00:00,148.68191977435467,76.1,0.9537702992687869
549,2018-11-25 03:00:00,157.3213331030341,93.4,0.6843825814029346
550,2018-11-25 02:00:00,167.71711938804918,94.1,0.7823285801067927
551,2018-11-25 01:00:00,163.9538575610577,91.0,0.8016907424292056
552,2018-11-25 00:00:00,160.5007028011452,85.2,0.8838110657411408
553,2018-11-24 23:00:00,164.3865693222248,83.9,0.9593154865581024
554,2018-11-24 22:00:00,174.158989721164,87.8,0.9835875822456037
555,2018-11-24 21:00:00,172.205312054392,91.8,0.8758748589803051
556,2018-11-24 20:00:00,185.56152880591114,90.5,1.0504036332144877
557,2018-11-24 19:00:00,175.64617159645272,88.6,0.982462433368541
558,2018-11-24 18:00:00,160.76054046120527,83.9,0.9160970257592999
559,2018-11-24 17:00:00,133.60750571916014,72.7,0.8377923757793692
560,2018-11-24 16:00:00,112.39914863458166,59.0,0.9050703158403672
561,2018-11-24 15:00:00,111.61313746882688,59.7,0.8695667917726444
562,2018-11-24 14:00:00,110.83942799443305,52.8,1.0992315908036565
563,2018-11-24 13:00:00,121.28545817948024,57.8,1.0983643283647102
564,2018-11-24 12:00:00,105.31514044982654,52.3,1.0136738135722094
565,2018-11-24 11:00:00,84.0157773077254,47.6,0.7650373383975924
566,2018-11-24 10:00:00,47.30206795899163,33.8,0.39946946624235596
567,2018-11-24 09:00:00,53.75191905876503,38.8,0.3853587386279649
568,2018-11-24 08:00:00,53.758459019975405,34.8,0.5447833051717071
569,2018-11-24 07:00:00,55.382820819106676,34.8,0.5914603683651345
570,2018-11-24 06:00:00,57.349699679898116,38.8,0.4780850432963433
571,2018-11-24 05:00:00,59.26615005384853,41.2,0.43849878771476997
572,2018-11-24 04:00:00,69.81247342873726,42.6,0.6387904560736446
573,2018-11-24 03:00:00,81.60282479588398,45.3,0.801386860836291
574,2018-11-24 02:00:00,95.96132502056969,52.8,0.8174493375107896
575,2018-11-24 01:00:00,98.57138054059098,55.1,0.7889542747838653
576,2018-11-24 00:00:00,91.98808368954273,51.7,0.7792666090820644
577,2018-11-23 23:00:00,100.19639850852764,52.4,0.9121450097047259
578,2018-11-23 22:00:00,104.81433511297084,55.4,0.8919555074543473
579,2018-11-23 21:00:00,101.89896781524628,55.1,0.849346058352927
580,2018-11-23 20:00:00,94.76496627348904,52.2,0.8154208098369546
581,2018-11-23 19:00:00,97.1372413851506,52.1,0.8644384143023148
582,2018-11-23 18:00:00,88.20484482266217,51.3,0.7193926866016018
583,2018-11-23 17:00:00,94.3136555501562,52.4,0.7998789227129046
584,2018-11-23 16:00:00,79.54240161527457,48.6,0.6366749303554438
585,2018-11-23 15:00:00,60.6076775091366,44.4,0.3650377817373109
586,2018-11-23 14:00:00,56.86726039837163,42.6,0.33491221592421655
587,2018-11-23 13:00:00,50.15726685430151,39.8,0.2602328355352139
588,2018-11-23 12:00:00,45.82988709688879,37.0,0.23864559721321052
