,时间,王佐镇,王佐镇_root,相对偏差
366,2018-12-02 18:00:00,257.3267615699539,130.2,0.9763960182024108
367,2018-12-02 17:00:00,272.8840970234803,132.7,1.056398621126453
368,2018-12-02 16:00:00,277.83973877790766,138.8,1.0017272246246947
369,2018-12-02 15:00:00,269.98448670420294,141.6,0.9066701038432412
370,2018-12-02 14:00:00,250.75745527172455,140.1,0.7898462189273702
371,2018-12-02 13:00:00,232.38658203989976,146.8,0.5830148640320146
372,2018-12-02 12:00:00,218.65392297119152,144.6,0.5121294811285722
373,2018-12-02 11:00:00,212.90388464055633,145.4,0.464263305643441
374,2018-12-02 10:00:00,208.4623719647216,141.3,0.4753175652138824
375,2018-12-02 09:00:00,193.47258849751412,128.5,0.5056232567899932
376,2018-12-02 08:00:00,195.53870635339877,133.3,0.46690702440659226
377,2018-12-02 07:00:00,208.1724756012062,133.6,0.5581772125838789
378,2018-12-02 06:00:00,214.60879067103318,139.0,0.5439481343239797
379,2018-12-02 05:00:00,221.2161350726051,144.5,0.5309075091529766
380,2018-12-02 04:00:00,257.35524316545224,147.0,0.7507159399010356
381,2018-12-02 03:00:00,238.65985275619406,150.6,0.5847267779295755
382,2018-12-02 02:00:00,265.2684387760951,150.8,0.759074527692938
383,2018-12-02 01:00:00,264.7705608029762,141.2,0.8751456147519563
384,2018-12-02 00:00:00,262.5283016183347,147.4,0.781060390897793
385,2018-12-01 23:00:00,259.7982030576846,148.7,0.7471298120893384
386,2018-12-01 22:00:00,264.94132053225957,150.3,0.7627499702745146
387,2018-12-01 21:00:00,266.3354292264391,148.8,0.7898886372744561
388,2018-12-01 20:00:00,278.34539348211234,153.0,0.819250937791584
389,2018-12-01 19:00:00,259.30347287515906,138.8,0.8681806403109441
390,2018-12-01 18:00:00,253.0608594046451,136.7,0.8512133094707032
391,2018-12-01 17:00:00,261.3887532494693,143.6,0.820255941848672
392,2018-12-01 16:00:00,230.1664597932466,126.4,0.8209371819085963
393,2018-12-01 15:00:00,200.44114560913766,112.7,0.7785372281201212
394,2018-12-01 14:00:00,177.63772084995537,101.4,0.7518512904334849
395,2018-12-01 13:00:00,151.7748798063669,88.5,0.7149703932922813
396,2018-12-01 12:00:00,136.97905879377856,75.4,0.8166983924904317
397,2018-12-01 11:00:00,126.57652448647464,71.6,0.7678285542803722
398,2018-12-01 10:00:00,138.6294215817578,80.1,0.7307043892853661
399,2018-12-01 09:00:00,135.21880332521104,71.5,0.8911720744784761
400,2018-12-01 08:00:00,94.21521004356978,65.6,0.4362074701763688
401,2018-12-01 07:00:00,101.4245615653813,72.5,0.3989594698673282
402,2018-12-01 06:00:00,129.65065915729528,71.8,0.8057194868704078
403,2018-12-01 05:00:00,129.75677208312058,74.0,0.753469893015143
404,2018-12-01 04:00:00,129.7872077897775,75.7,0.7144941583854361
405,2018-12-01 03:00:00,144.92124942523648,78.6,0.8437817993032632
406,2018-12-01 02:00:00,145.94549270776284,79.1,0.8450757611600865
407,2018-12-01 01:00:00,121.45078122262497,79.8,0.5219396143186087
408,2018-12-01 00:00:00,142.18863878229186,82.1,0.7318957220742006
409,2018-11-30 23:00:00,146.69188153276025,84.0,0.7463319230090506
410,2018-11-30 22:00:00,123.47871179938072,88.2,0.39998539455080173
411,2018-11-30 21:00:00,144.49027653651447,85.8,0.6840358570689333
412,2018-11-30 20:00:00,145.47972324977405,85.4,0.7035096399270966
413,2018-11-30 19:00:00,157.75199263106677,82.4,0.9144659299886743
414,2018-11-30 18:00:00,134.48967785489342,82.0,0.6401180226206514
415,2018-11-30 17:00:00,141.41272788272852,81.0,0.745836146700352
416,2018-11-30 16:00:00,146.6110946334905,86.4,0.6968876693691028
417,2018-11-30 15:00:00,143.35824191197514,82.5,0.7376756595390926
418,2018-11-30 14:00:00,134.12292277968186,75.0,0.7883056370624247
419,2018-11-30 13:00:00,126.04480356426254,69.0,0.8267362835400368
420,2018-11-30 12:00:00,110.15590945587101,60.0,0.8359318242645168
421,2018-11-30 11:00:00,95.0241331153802,54.2,0.7532127881066456
422,2018-11-30 10:00:00,90.82758028390387,54.6,0.6635087964084958
423,2018-11-30 09:00:00,98.29799346082386,55.6,0.7679495226766881
424,2018-11-30 08:00:00,73.23347244357547,55.7,0.31478406541428117
425,2018-11-30 07:00:00,69.58185920802777,54.4,0.2790782942652163
426,2018-11-30 06:00:00,64.37252619224815,53.3,0.20773970341928985
427,2018-11-30 05:00:00,82.60972547701463,53.0,0.5586740656040498
428,2018-11-30 04:00:00,82.18511801537812,52.3,0.571417170466121
429,2018-11-30 03:00:00,89.53096257653684,50.8,0.7624205231601741
430,2018-11-30 02:00:00,93.5765153917393,51.1,0.8312429626563465
431,2018-11-30 01:00:00,63.556547876984524,51.8,0.22696038372557004
432,2018-11-30 00:00:00,87.6252456589335,53.6,0.6347993593084607
433,2018-11-29 23:00:00,85.83353561931789,57.2,0.5005862870510119
434,2018-11-29 22:00:00,88.38022708243699,57.5,0.5370474275206433
435,2018-11-29 21:00:00,88.77920681355977,53.1,0.6719247987487714
436,2018-11-29 20:00:00,87.14284769645032,50.7,0.7187938401666728
437,2018-11-29 19:00:00,80.50100899251166,49.1,0.6395317513749827
438,2018-11-29 18:00:00,76.72612116709666,46.6,0.6464832868475678
439,2018-11-29 17:00:00,57.578940301692576,45.7,0.25993304817708035
440,2018-11-29 16:00:00,79.01813246119815,47.3,0.6705736249724769
441,2018-11-29 15:00:00,85.90299636002605,52.2,0.6456512712648668
442,2018-11-29 14:00:00,75.96421973143421,46.2,0.6442471803340738
443,2018-11-29 13:00:00,74.28113162106247,46.3,0.6043440954873105
444,2018-11-29 12:00:00,63.41048641715369,39.0,0.625909908132146
445,2018-11-29 11:00:00,67.33389816419736,33.9,0.9862506833096568
446,2018-11-29 10:00:00,66.97792291756431,46.1,0.4528833604677725
447,2018-11-29 09:00:00,76.9556470526305,48.2,0.5965901878139106
448,2018-11-29 08:00:00,67.21012360592687,39.8,0.688696573013238
449,2018-11-29 07:00:00,70.64834394731838,39.0,0.8114959986491892
450,2018-11-29 06:00:00,72.58354169379689,39.7,0.8283007983324152
451,2018-11-29 05:00:00,76.75888496005673,42.3,0.8146308501195446
452,2018-11-29 04:00:00,60.43896892640715,44.6,0.35513383243065355
453,2018-11-29 03:00:00,81.17864073626896,45.3,0.7920229743105732
454,2018-11-29 02:00:00,67.32967551125117,48.4,0.3911089981663465
455,2018-11-29 01:00:00,72.78694696512198,48.9,0.4884856230086296
456,2018-11-29 00:00:00,66.99444317197816,50.1,0.33721443457042233
457,2018-11-28 23:00:00,84.64084331526158,51.3,0.6499189730070484
458,2018-11-28 22:00:00,85.56022158264105,46.4,0.843970292729333
459,2018-11-28 21:00:00,72.26510143386443,47.1,0.5342909009313042
460,2018-11-28 20:00:00,84.44258584809343,44.4,0.9018600416237259
461,2018-11-28 19:00:00,83.61701914396355,43.5,0.9222303251485873
462,2018-11-28 18:00:00,69.07766883348822,45.1,0.5316556282369893
463,2018-11-28 17:00:00,71.15774556505966,42.6,0.6703696142032782
464,2018-11-28 16:00:00,63.41175697699203,44.6,0.4217882730267271
465,2018-11-28 15:00:00,67.00387208978952,43.1,0.5546142016192465
466,2018-11-28 14:00:00,65.93488203788516,42.2,0.5624379629830606
467,2018-11-28 13:00:00,63.50711655600329,43.1,0.4734829827378953
468,2018-11-28 12:00:00,64.35329409785376,41.8,0.5395524903792768
469,2018-11-28 11:00:00,60.71050592231397,38.3,0.5851307029324798
470,2018-11-28 10:00:00,60.232500764922385,33.5,0.7979850974603697
473,2018-11-28 07:00:00,61.984296677150574,31.7,0.9553405891845608
474,2018-11-28 06:00:00,53.93008394280971,35.6,0.5148899983935311
475,2018-11-28 05:00:00,66.54908874899357,34.6,0.9233840678899875
476,2018-11-28 04:00:00,67.6771192810534,33.3,1.0323459243559578
477,2018-11-28 03:00:00,71.34255716144386,38.6,0.8482527762032088
478,2018-11-28 02:00:00,75.33896776966135,39.7,0.8977069967169105
479,2018-11-28 01:00:00,74.36505211538673,40.5,0.8361741263058452
480,2018-11-28 00:00:00,76.31527385086054,42.9,0.7789108123743715
481,2018-11-27 23:00:00,55.671994487987796,40.6,0.37123139132974864
482,2018-11-27 22:00:00,55.585512660299685,38.5,0.4437795496181736
