,时间,南苑街道,南苑街道_root,相对偏差
167,2018-12-11 01:00:00,71.34808218350362,90.5,0.2116234012872528
168,2018-12-11 00:00:00,67.05912653973274,84.3,0.20451807188929125
169,2018-12-10 23:00:00,63.39557017436828,87.7,0.2771314689353674
170,2018-12-10 22:00:00,65.49263400540494,77.6,0.15602275766230744
171,2018-12-10 21:00:00,64.96795408169336,74.7,0.1302817392008921
172,2018-12-10 20:00:00,60.83901087769118,73.6,0.17338300437919585
174,2018-12-10 18:00:00,59.998157957539064,73.1,0.17923176528674326
175,2018-12-10 17:00:00,55.9293864752101,74.3,0.24724917260820856
176,2018-12-10 16:00:00,54.8252878387334,69.7,0.21341050446580487
177,2018-12-10 15:00:00,54.08769189518405,67.1,0.19392411482587102
178,2018-12-10 14:00:00,61.91766572954534,72.4,0.14478362252009205
179,2018-12-10 13:00:00,64.48973596955051,72.0,0.10430922264513182
180,2018-12-10 12:00:00,61.885957811124406,70.4,0.12093809927380111
181,2018-12-10 11:00:00,52.40094771686167,63.9,0.17995386984567022
182,2018-12-10 10:00:00,48.64302394163934,60.5,0.19598307534480428
183,2018-12-10 09:00:00,46.369176036189444,62.3,0.25571146009326734
184,2018-12-10 08:00:00,47.232222856396234,62.2,0.2406395039164593
185,2018-12-10 07:00:00,48.752272406981206,63.7,0.23465820397203763
186,2018-12-10 06:00:00,48.34447069384498,70.6,0.31523412614950447
187,2018-12-10 05:00:00,60.94246931726665,83.0,0.26575338171967894
188,2018-12-10 04:00:00,74.68585026771821,86.4,0.1355804367162245
189,2018-12-10 03:00:00,76.79918922067634,96.1,0.200840903010652
190,2018-12-10 02:00:00,82.26077164613173,100.5,0.18148485924247035
191,2018-12-10 01:00:00,85.92387159562524,105.8,0.18786510779182186
192,2018-12-10 00:00:00,95.22568297342569,108.4,0.12153428991304717
193,2018-12-09 23:00:00,108.444058381247,108.2,0.002255622747199639
194,2018-12-09 22:00:00,118.01018398717653,121.5,0.02872276553764171
195,2018-12-09 21:00:00,113.8736069256677,130.2,0.12539472407321267
196,2018-12-09 20:00:00,107.59585240205195,128.2,0.16071878001519535
197,2018-12-09 19:00:00,112.72380158760745,128.2,0.12071917638371713
198,2018-12-09 18:00:00,102.91429770368504,115.9,0.1120422976386106
199,2018-12-09 17:00:00,86.04404871505164,99.4,0.13436570709203582
200,2018-12-09 16:00:00,82.95802686833076,98.2,0.15521357567891284
201,2018-12-09 15:00:00,75.30276375728666,95.2,0.20900458238144273
202,2018-12-09 14:00:00,57.24152377755824,70.4,0.18691017361422957
203,2018-12-09 13:00:00,40.344815671658964,61.3,0.3418464001360691
204,2018-12-09 12:00:00,25.289706656602444,61.3,0.587443610822146
205,2018-12-09 11:00:00,29.534939948917543,64.4,0.5413829200478644
206,2018-12-09 10:00:00,34.935673745667074,73.7,0.5259745760425092
207,2018-12-09 09:00:00,86.64933926413548,88.1,0.016466069646589296
208,2018-12-09 08:00:00,52.306954019739074,74.6,0.29883439651824295
209,2018-12-09 07:00:00,47.59910750637713,74.0,0.3567688174813901
210,2018-12-09 06:00:00,28.217786885437455,71.8,0.6069946116234337
211,2018-12-09 05:00:00,17.74093329081458,69.6,0.7451015331779514
212,2018-12-09 04:00:00,19.07492193960206,70.9,0.730960198313088
213,2018-12-09 03:00:00,19.583004348649983,71.3,0.7253435575224407
214,2018-12-09 02:00:00,18.983185722571854,69.2,0.7256765068992507
215,2018-12-09 01:00:00,17.799912670885806,67.6,0.7366876823833461
217,2018-12-08 23:00:00,36.964263850279984,55.5,0.33397722792288315
218,2018-12-08 22:00:00,10.726986349654052,50.6,0.7880042223388528
219,2018-12-08 21:00:00,9.846767822863127,47.6,0.793135129771783
220,2018-12-08 20:00:00,7.828695964208393,41.7,0.8122614876688635
221,2018-12-08 19:00:00,7.768604707417473,34.5,0.7748230519589138
286,2018-12-06 02:00:00,9.393267645278208,35.7,0.7368832592359046
287,2018-12-06 01:00:00,23.325499641716515,49.3,0.5268661330280625
288,2018-12-06 00:00:00,33.51220706795827,54.6,0.38622331377365804
289,2018-12-05 23:00:00,34.050829403354186,58.2,0.4149342026915089
290,2018-12-05 22:00:00,54.388129217632525,74.3,0.2679928772862379
291,2018-12-05 21:00:00,59.42900240250987,77.2,0.23019426939754054
292,2018-12-05 20:00:00,54.014140643907396,71.0,0.23923745571961413
293,2018-12-05 19:00:00,52.090066469987434,65.1,0.19984536912461692
294,2018-12-05 18:00:00,47.65979760421905,61.9,0.23005173498838366
295,2018-12-05 17:00:00,41.392799994057015,58.2,0.28878350525675234
296,2018-12-05 16:00:00,28.512426622138285,52.1,0.4527365331643323
297,2018-12-05 15:00:00,27.57357647074074,51.1,0.46039967767630646
298,2018-12-05 14:00:00,32.345180370624746,49.9,0.3517999925726504
299,2018-12-05 13:00:00,40.2271296809615,53.0,0.24099755318940572
300,2018-12-05 12:00:00,45.93151270146015,59.5,0.2280418033368042
301,2018-12-05 11:00:00,43.24519101225256,57.6,0.2492154338150597
302,2018-12-05 10:00:00,41.61007491741978,53.0,0.21490424684113624
304,2018-12-05 08:00:00,28.165179846993897,43.6,0.35400963653683726
305,2018-12-05 07:00:00,25.18809865830186,42.7,0.4101147855198628
306,2018-12-05 06:00:00,23.313591223522906,41.1,0.43275933762717994
307,2018-12-05 05:00:00,18.99915937651768,39.1,0.5140879954854813
308,2018-12-05 04:00:00,15.883099032834236,37.9,0.5809208698460623
309,2018-12-05 03:00:00,11.078079733665213,36.0,0.692275562953744
310,2018-12-05 02:00:00,8.390321864014272,33.1,0.7465159557699615
357,2018-12-03 03:00:00,81.43310971334462,40.7,1.0008135064703836
358,2018-12-03 02:00:00,152.5073147430785,109.8,0.38895550767831055
359,2018-12-03 01:00:00,205.48191031274587,158.0,0.3005184197009232
360,2018-12-03 00:00:00,221.9609054570646,176.2,0.25971001962011697
361,2018-12-02 23:00:00,219.69158007520645,171.7,0.27950832891791766
363,2018-12-02 21:00:00,213.83469745630546,175.1,0.2212147199103682
364,2018-12-02 20:00:00,210.44854318460375,187.4,0.12299115893598582
365,2018-12-02 19:00:00,210.61072741420634,184.7,0.14028547598379182
366,2018-12-02 18:00:00,215.1478060973052,186.6,0.15298931456219292
367,2018-12-02 17:00:00,221.9317237002802,181.7,0.22141840231304466
368,2018-12-02 16:00:00,223.31730612069504,184.0,0.2136810115255165
369,2018-12-02 15:00:00,215.0729987097718,184.6,0.165075832663986
370,2018-12-02 14:00:00,221.77605122061289,181.9,0.21921963287857546
371,2018-12-02 13:00:00,201.3897350690392,179.3,0.12319986095392745
372,2018-12-02 12:00:00,190.80225597531725,173.4,0.10035903099952276
373,2018-12-02 11:00:00,189.3270547991732,177.2,0.06843710383280592
374,2018-12-02 10:00:00,185.03144749756538,168.4,0.09876156471238345
375,2018-12-02 09:00:00,168.68001269765455,165.2,0.021065452164979168
376,2018-12-02 08:00:00,188.7733724817931,176.8,0.06772269503276636
377,2018-12-02 07:00:00,185.86847779605438,185.0,0.00469447457326691
378,2018-12-02 06:00:00,197.56054659246593,182.9,0.08015607759686123
379,2018-12-02 05:00:00,203.67112176009644,192.3,0.05913219844043904
380,2018-12-02 04:00:00,209.6547342354094,194.1,0.08013773434007934
381,2018-12-02 03:00:00,226.8362036605413,203.7,0.11357979214796907
382,2018-12-02 02:00:00,216.46488641855944,198.5,0.09050320613883851
383,2018-12-02 01:00:00,230.61668776822194,198.9,0.15946047143399664
384,2018-12-02 00:00:00,222.1359639434819,196.2,0.13219145740816468
385,2018-12-01 23:00:00,212.04939532478608,204.5,0.03691635855641113
386,2018-12-01 22:00:00,226.33874568062527,195.0,0.1607115163108988
387,2018-12-01 21:00:00,226.1559600775219,181.7,0.24466681385537659
388,2018-12-01 20:00:00,219.9666357288193,177.6,0.23855087685146012
389,2018-12-01 19:00:00,221.98070473663137,182.4,0.21699947772275965
390,2018-12-01 18:00:00,227.67929302670422,197.5,0.15280654697065427
391,2018-12-01 17:00:00,236.9856047419118,214.2,0.10637537227783292
392,2018-12-01 16:00:00,231.47932529575394,214.6,0.07865482430453842
393,2018-12-01 15:00:00,212.93167313380147,185.6,0.1472611699019476
394,2018-12-01 14:00:00,213.4548785786346,181.8,0.17411924410690094
395,2018-12-01 13:00:00,206.3734956665807,182.3,0.132054282318051
396,2018-12-01 12:00:00,185.41396064418404,164.6,0.12645176576053493
397,2018-12-01 11:00:00,143.95791679558792,138.4,0.040158358349623655
398,2018-12-01 10:00:00,127.22664386942549,131.9,0.035431054818608934
399,2018-12-01 09:00:00,118.189015352546,143.0,0.173503389143035
400,2018-12-01 08:00:00,109.29820446196263,127.4,0.1420863072059449
401,2018-12-01 07:00:00,114.31467917396026,128.8,0.11246367100962541
402,2018-12-01 06:00:00,131.70145072126653,136.6,0.03586053644753638
403,2018-12-01 05:00:00,144.23628120226903,146.4,0.014779499984501223
404,2018-12-01 04:00:00,165.1559766000817,153.6,0.07523422265678185
405,2018-12-01 03:00:00,178.9408992969997,157.6,0.1354117975697951
406,2018-12-01 02:00:00,171.45264826735362,161.0,0.0649232811636871
407,2018-12-01 01:00:00,173.50035863867126,167.0,0.0389243032255764
408,2018-12-01 00:00:00,166.8407701043009,173.2,0.03671610794283538
409,2018-11-30 23:00:00,156.9038614098067,174.4,0.10032189558597082
410,2018-11-30 22:00:00,163.50632119798814,169.4,0.03479149233773236
411,2018-11-30 21:00:00,155.29394878817808,166.6,0.06786345265199226
412,2018-11-30 20:00:00,153.9973551281005,163.2,0.05638875534252133
413,2018-11-30 19:00:00,151.42675206956642,158.0,0.041602835002744185
414,2018-11-30 18:00:00,139.25842166116826,160.6,0.13288654009235204
415,2018-11-30 17:00:00,131.18596586645836,147.4,0.11000023157083884
416,2018-11-30 16:00:00,126.50517237731161,140.5,0.09960731404048677
417,2018-11-30 15:00:00,124.28347413290115,136.9,0.092158698810072
418,2018-11-30 14:00:00,115.5142951635938,136.1,0.15125426037036147
419,2018-11-30 13:00:00,100.80955732076939,124.8,0.19223111121178374
420,2018-11-30 12:00:00,79.30255536341815,100.5,0.21091984713016765
421,2018-11-30 11:00:00,73.61355202708658,96.9,0.24031422056670196
422,2018-11-30 10:00:00,73.2955860391587,86.2,0.14970317820001502
423,2018-11-30 09:00:00,60.52850235812359,95.9,0.3688373059632577
424,2018-11-30 08:00:00,74.63485219706499,99.9,0.25290438241176194
425,2018-11-30 07:00:00,72.38174633966204,96.5,0.24993008974443479
426,2018-11-30 06:00:00,71.05885977971985,101.8,0.3019758371343826
427,2018-11-30 05:00:00,72.24488402647188,103.3,0.30063035792379594
428,2018-11-30 04:00:00,74.31541489250266,101.9,0.2707025035083155
429,2018-11-30 03:00:00,75.26433639960626,100.5,0.25110113035217646
430,2018-11-30 02:00:00,75.35824509344542,94.7,0.2042423960565426
431,2018-11-30 01:00:00,73.20637679720548,94.0,0.22120875747653745
432,2018-11-30 00:00:00,66.47245905836581,81.6,0.18538653114747772
433,2018-11-29 23:00:00,57.93107980352529,84.0,0.3103442880532703
434,2018-11-29 22:00:00,53.65546414145148,82.0,0.3456650714457136
435,2018-11-29 21:00:00,45.93577477045651,75.8,0.39398714023144443
436,2018-11-29 20:00:00,45.35952312427963,64.8,0.30000735919321553
437,2018-11-29 19:00:00,46.10332195150086,64.0,0.27963559450779907
438,2018-11-29 18:00:00,45.68393478675958,67.1,0.31916639662057256
439,2018-11-29 17:00:00,43.87961378084248,65.1,0.325965994149885
440,2018-11-29 16:00:00,39.42760718137299,59.8,0.34067546519443154
441,2018-11-29 15:00:00,39.63660959159701,58.5,0.3224511180923588
442,2018-11-29 14:00:00,38.866944371639946,54.3,0.28421833569723853
443,2018-11-29 13:00:00,41.443343412119404,55.8,0.2572877524709784
444,2018-11-29 12:00:00,40.242234764487876,58.4,0.31092063759438565
445,2018-11-29 11:00:00,43.936408755344814,58.8,0.252782164024748
446,2018-11-29 10:00:00,38.22745713639127,56.2,0.31979613636314463
447,2018-11-29 09:00:00,29.63760745644311,50.3,0.4107831519593815
448,2018-11-29 08:00:00,26.713314693631176,49.9,0.46466303219176
449,2018-11-29 07:00:00,25.422126787274223,50.9,0.5005476073227068
450,2018-11-29 06:00:00,26.47684446725969,51.4,0.4848862944112901
451,2018-11-29 05:00:00,43.40942804627872,61.0,0.2883700320282177
452,2018-11-29 04:00:00,57.3722875593389,75.1,0.23605475952944202
453,2018-11-29 03:00:00,60.56908152811734,72.7,0.16686270250182483
454,2018-11-29 02:00:00,59.418005362901184,70.5,0.15719141329218178
455,2018-11-29 01:00:00,57.49855719323466,65.8,0.12616174478366773
456,2018-11-29 00:00:00,53.253630261446474,64.0,0.16791202716489884
457,2018-11-28 23:00:00,51.6796508591067,61.6,0.16104462891060553
458,2018-11-28 22:00:00,47.69528697312881,57.0,0.16324057941879283
459,2018-11-28 21:00:00,43.62488232785462,57.6,0.2426235706969684
460,2018-11-28 20:00:00,42.333416561677154,55.0,0.23030151706041538
461,2018-11-28 19:00:00,37.53455987748124,53.8,0.3023316007903114
462,2018-11-28 18:00:00,34.37173353701264,52.8,0.3490201981626394
463,2018-11-28 17:00:00,34.834650948929614,55.5,0.37234863155081777
464,2018-11-28 16:00:00,32.72249600910385,46.9,0.30229219596793494
465,2018-11-28 15:00:00,33.73935896910223,49.7,0.3211396585693717
466,2018-11-28 14:00:00,38.4160636870902,51.2,0.24968625611151957
467,2018-11-28 13:00:00,41.713332089944714,55.7,0.25110714380709676
468,2018-11-28 12:00:00,52.17770782635722,58.3,0.10501358788409565
469,2018-11-28 11:00:00,57.62672234205209,65.2,0.11615456530594957
470,2018-11-28 10:00:00,65.32503432626027,73.9,0.11603471818321705
471,2018-11-28 09:00:00,66.67780608628595,73.6,0.09405154774067989
472,2018-11-28 08:00:00,55.834093859348116,62.6,0.1080815677420429
473,2018-11-28 07:00:00,47.99174227590022,59.1,0.1879569834873059
474,2018-11-28 06:00:00,40.57417809114416,60.3,0.3271280581899807
475,2018-11-28 05:00:00,37.9207244516048,59.4,0.36160396546119866
476,2018-11-28 04:00:00,32.50538106551563,55.1,0.4100656793917309
477,2018-11-28 03:00:00,28.34820887266174,51.0,0.44415276720271096
478,2018-11-28 02:00:00,31.59293918935462,51.5,0.386544870109619
479,2018-11-28 01:00:00,30.802531777895133,51.0,0.3960287886687229
480,2018-11-28 00:00:00,28.68553930408911,47.0,0.3896693765087423
