,时间,西罗园街道,西罗园街道_root,相对偏差
396,2018-12-01 12:00:00,163.2164218495964,64.7,1.5226649435795423
397,2018-12-01 11:00:00,129.03527051442705,55.0,1.3460958275350374
398,2018-12-01 10:00:00,98.03317437811688,46.0,1.1311559647416713
399,2018-12-01 09:00:00,86.93572579446239,40.9,1.1255678678352663
400,2018-12-01 08:00:00,78.51740448056154,38.2,1.0554294366639145
401,2018-12-01 07:00:00,81.20241353657856,38.6,1.103689469859548
402,2018-12-01 06:00:00,89.43659563773844,40.2,1.22479093626215
403,2018-12-01 05:00:00,88.24932681544897,40.6,1.1736287392967726
404,2018-12-01 04:00:00,90.47538462288743,42.9,1.1089833245428307
405,2018-12-01 03:00:00,95.54429490597065,44.2,1.1616356313568017
406,2018-12-01 02:00:00,117.14083722194518,46.0,1.546539939607504
407,2018-12-01 01:00:00,134.1449940696474,51.8,1.5896717001862433
408,2018-12-01 00:00:00,154.04287939900706,54.4,1.8316705771876298
409,2018-11-30 23:00:00,144.1484867480706,51.5,1.7989997426809827
410,2018-11-30 22:00:00,141.26767640115716,49.6,1.848138637120104
411,2018-11-30 21:00:00,148.18317875559447,48.2,2.074339808207354
412,2018-11-30 20:00:00,146.2186281752804,47.0,2.1110346420272426
413,2018-11-30 19:00:00,134.78165990725535,45.0,1.9951479979390077
414,2018-11-30 18:00:00,129.6233428883831,43.8,1.9594370522461895
415,2018-11-30 17:00:00,125.95871017224766,43.6,1.8889612424827447
416,2018-11-30 16:00:00,120.79324404181077,41.0,1.9461766839466041
417,2018-11-30 15:00:00,121.56082048646618,41.2,1.9505053516132567
418,2018-11-30 14:00:00,119.49288662141822,42.4,1.8182284580523165
419,2018-11-30 13:00:00,102.15483574178874,36.7,1.7835105106754423
420,2018-11-30 12:00:00,87.33511823918016,31.7,1.7550510485545792
425,2018-11-30 07:00:00,82.74285632274668,32.4,1.5537918618131692
426,2018-11-30 06:00:00,80.13550249688777,30.9,1.5933819578280832
503,2018-11-27 01:00:00,153.4459003162574,58.7,1.6140698520657135
504,2018-11-27 00:00:00,289.5601553947006,160.2,0.8074916067084932
505,2018-11-26 23:00:00,324.8389458204364,178.9,0.8157571035239596
506,2018-11-26 22:00:00,371.20635501012487,189.6,0.9578394251588865
507,2018-11-26 21:00:00,369.33212053983266,188.9,0.9551726868175365
508,2018-11-26 20:00:00,324.8299910267902,189.0,0.7186772011999482
509,2018-11-26 19:00:00,297.55570197530835,178.4,0.6679131276642845
510,2018-11-26 18:00:00,289.50141670667585,156.4,0.8510320761296409
511,2018-11-26 17:00:00,293.95357467570284,165.1,0.7804577509127973
512,2018-11-26 16:00:00,262.49156952249973,155.5,0.6880486786012845
513,2018-11-26 15:00:00,236.70968413913204,129.5,0.8278740087963864
514,2018-11-26 14:00:00,292.95727679286995,155.7,0.8815496261584456
515,2018-11-26 13:00:00,306.57894943508677,163.8,0.8716663579675625
516,2018-11-26 12:00:00,294.052143671519,157.6,0.8658130943624303
517,2018-11-26 11:00:00,275.76075874577924,139.6,0.9753636013307969
518,2018-11-26 10:00:00,241.33497921381957,128.4,0.8795559128802146
519,2018-11-26 09:00:00,215.4265937328256,111.8,0.9268926094170449
520,2018-11-26 08:00:00,195.6976026904175,103.4,0.8926267184759913
521,2018-11-26 07:00:00,195.42578278764458,109.3,0.7879760547817437
522,2018-11-26 06:00:00,205.08141011366237,101.6,1.0185178160793542
523,2018-11-26 05:00:00,209.06297107293483,106.9,0.9556872878665559
