,时间,羊坊村盛芳花卉,羊坊村盛芳花卉_root,相对偏差
292,2018-12-05 20:00:00,67.10406329309511,61.1,0.0982661750097399
293,2018-12-05 19:00:00,65.08189166082231,60.6,0.07395860826439449
294,2018-12-05 18:00:00,58.97530910171699,60.2,0.020343702629285962
295,2018-12-05 17:00:00,56.37197295407576,58.2,0.03140939941450592
296,2018-12-05 16:00:00,53.971849850004105,56.0,0.03621696696421241
297,2018-12-05 15:00:00,52.29215149025913,57.1,0.08420049929493645
298,2018-12-05 14:00:00,47.2062300354812,55.7,0.15249138176873975
299,2018-12-05 13:00:00,53.42666382684298,54.5,0.019694241709303065
300,2018-12-05 12:00:00,52.71273511533868,53.6,0.016553449340696275
301,2018-12-05 11:00:00,55.50951201739499,53.8,0.031775316308457105
302,2018-12-05 10:00:00,57.07797902661213,52.6,0.08513268111429896
304,2018-12-05 08:00:00,40.72007324963127,53.2,0.23458508929264535
305,2018-12-05 07:00:00,42.127932956318695,54.0,0.21985309340150566
306,2018-12-05 06:00:00,36.10407690065776,54.6,0.3387531703176235
307,2018-12-05 05:00:00,37.72896468382524,55.2,0.3165042629741805
308,2018-12-05 04:00:00,38.090270222209675,56.2,0.32223718465819084
309,2018-12-05 03:00:00,49.242365871521706,56.8,0.13305693888166006
310,2018-12-05 02:00:00,46.505427777111315,54.5,0.14668939858511348
311,2018-12-05 01:00:00,35.35576089215094,53.4,0.33790709939792246
312,2018-12-05 00:00:00,36.170188531859985,53.4,0.3226556454707868
313,2018-12-04 23:00:00,47.43270314848667,55.4,0.14381402259049336
314,2018-12-04 22:00:00,32.06973164322107,53.4,0.39944322765503615
315,2018-12-04 21:00:00,40.705904134337,50.4,0.19234317193775796
316,2018-12-04 20:00:00,35.195119784291194,43.1,0.1834078936359352
317,2018-12-04 19:00:00,16.047972670409784,39.6,0.5947481648886418
318,2018-12-04 18:00:00,25.56591905674001,48.1,0.4684840112943865
319,2018-12-04 17:00:00,13.465363291712539,43.7,0.6918681168944499
320,2018-12-04 16:00:00,12.602803040452914,43.0,0.7069115571987695
321,2018-12-04 15:00:00,15.649034523215263,40.4,0.6126476603164539
322,2018-12-04 14:00:00,17.30271330772696,43.1,0.598544934855523
323,2018-12-04 13:00:00,12.030056657971842,38.1,0.6842504814180619
324,2018-12-04 12:00:00,12.488984546997411,40.2,0.6893287426120047
325,2018-12-04 11:00:00,14.180255598040176,40.1,0.6463776658842849
326,2018-12-04 10:00:00,15.476787826956794,39.8,0.6111359842473167
327,2018-12-04 09:00:00,14.346412719580542,41.2,0.6517860990393073
328,2018-12-04 08:00:00,15.09371336256435,43.2,0.650608486977677
329,2018-12-04 07:00:00,14.998121460327186,43.3,0.6536230609624206
330,2018-12-04 06:00:00,13.613585486519076,41.7,0.6735351202273603
331,2018-12-04 05:00:00,14.722179179348727,41.9,0.6486353417816533
332,2018-12-04 04:00:00,15.43290841290317,40.8,0.6217424408602163
333,2018-12-04 03:00:00,17.232038452672995,39.1,0.5592829040237086
334,2018-12-04 02:00:00,19.440757325763915,39.1,0.502793930287368
335,2018-12-04 01:00:00,20.983506857786807,45.7,0.5408423007048839
336,2018-12-04 00:00:00,21.229422970220718,46.3,0.5414811453516043
337,2018-12-03 23:00:00,26.20731833314912,45.6,0.4252781067291859
338,2018-12-03 22:00:00,26.83374229699854,44.1,0.39152511798189255
339,2018-12-03 21:00:00,29.982469860404006,45.7,0.3439284494441137
340,2018-12-03 20:00:00,32.88043997240102,47.0,0.3004161707999783
341,2018-12-03 19:00:00,33.1914883383715,45.6,0.2721164838076426
