,时间,千灵山,千灵山_root,相对偏差
494,2018-11-27 10:00:00,30.951874636668446,54.1,0.4278766240911563
495,2018-11-27 09:00:00,32.753737163323834,60.7,0.46039971724342943
496,2018-11-27 08:00:00,33.665620588106094,61.5,0.4525915351527464
497,2018-11-27 07:00:00,39.18525814342235,60.1,0.3479990325553685
498,2018-11-27 06:00:00,45.45477378116715,58.9,0.22827209200055773
500,2018-11-27 04:00:00,67.73936870836663,77.3,0.1236821641867189
501,2018-11-27 03:00:00,89.37081522380495,75.4,0.18528932657566244
502,2018-11-27 02:00:00,90.8312011672745,81.5,0.11449326585612883
503,2018-11-27 01:00:00,159.11956335795082,79.2,1.0090853959337225
504,2018-11-27 00:00:00,142.16785622507962,77.2,0.8415525417756426
505,2018-11-26 23:00:00,96.83183064138055,89.7,0.07950758797525692
506,2018-11-26 22:00:00,87.00299014118455,123.7,0.2966613569831483
507,2018-11-26 21:00:00,110.31455471637703,163.9,0.32693987360355686
508,2018-11-26 20:00:00,179.44001667418735,216.6,0.17156040316626336
509,2018-11-26 19:00:00,112.15577964884183,269.6,0.5839919152491031
510,2018-11-26 18:00:00,147.1134285299364,281.4,0.477208853838179
511,2018-11-26 17:00:00,176.72785143208193,207.4,0.14788885519729061
512,2018-11-26 16:00:00,133.55035502820806,164.3,0.18715547761285423
513,2018-11-26 15:00:00,119.8468935107949,128.8,0.06951169634476018
514,2018-11-26 14:00:00,143.76746869295897,138.7,0.03653546281873816
515,2018-11-26 13:00:00,164.15372497822085,173.0,0.051134537698145376
516,2018-11-26 12:00:00,136.18113494500057,162.7,0.16299240968038983
517,2018-11-26 11:00:00,152.09881855757612,165.4,0.08041826748744789
518,2018-11-26 10:00:00,166.68057156378785,145.0,0.1495211831985369
519,2018-11-26 09:00:00,152.70757853980047,158.8,0.03836537443450595
520,2018-11-26 08:00:00,149.0635663043805,152.4,0.02189260955130918
521,2018-11-26 07:00:00,153.33853139071385,143.3,0.07005255680888933
522,2018-11-26 06:00:00,145.80329756835943,140.1,0.04070876208679109
523,2018-11-26 05:00:00,123.17652886251838,133.4,0.0766377146737753
524,2018-11-26 04:00:00,97.42211916419123,127.3,0.23470448417760226
525,2018-11-26 03:00:00,101.02988484257028,125.8,0.19690075641836022
526,2018-11-26 02:00:00,119.17760000222671,122.4,0.026326797367428875
527,2018-11-26 01:00:00,133.63027113783983,119.1,0.12200059729504478
528,2018-11-26 00:00:00,132.9006420161911,139.9,0.050031150706282286
529,2018-11-25 23:00:00,84.78919838713298,107.4,0.21052887907697412
530,2018-11-25 22:00:00,52.784393942761234,89.0,0.4069169219914468
531,2018-11-25 21:00:00,45.506129571543354,108.0,0.5786469484116356
532,2018-11-25 20:00:00,68.42941182180076,133.4,0.48703589338979947
533,2018-11-25 19:00:00,97.2045709228718,149.5,0.34980220118480404
534,2018-11-25 18:00:00,106.6246473707393,129.8,0.17854663042573737
535,2018-11-25 17:00:00,98.0503517173555,125.1,0.21622420689563948
536,2018-11-25 16:00:00,110.40212038031352,131.6,0.16107811261159935
537,2018-11-25 15:00:00,92.01241461090461,118.4,0.2228681198403327
538,2018-11-25 14:00:00,72.7608464020409,97.4,0.25296872277165405
539,2018-11-25 13:00:00,63.6706919197403,93.6,0.3197575649600395
540,2018-11-25 12:00:00,57.788853991531504,91.7,0.3698052999832988
541,2018-11-25 11:00:00,84.67740956455233,100.0,0.15322590435447667
542,2018-11-25 10:00:00,26.45985331151387,97.0,0.7272180070977952
543,2018-11-25 09:00:00,27.465700878609944,78.8,0.6514504964643408
544,2018-11-25 08:00:00,22.87651639535018,76.8,0.7021286927688779
545,2018-11-25 07:00:00,24.705600206898342,70.8,0.6510508445353341
546,2018-11-25 06:00:00,25.138339873217976,83.2,0.6978564919084378
547,2018-11-25 05:00:00,19.335880949453063,83.0,0.7670375789222522
548,2018-11-25 04:00:00,32.57892273520689,82.8,0.606534749574796
549,2018-11-25 03:00:00,41.96073359060381,96.6,0.5656238758736666
550,2018-11-25 02:00:00,51.511977560046866,94.2,0.45316372016935386
551,2018-11-25 01:00:00,50.09133351568539,95.1,0.47327725009794536
552,2018-11-25 00:00:00,51.49380903400333,111.2,0.5369261777517687
553,2018-11-24 23:00:00,59.72275985197514,105.3,0.4328322901046995
554,2018-11-24 22:00:00,74.79057291903624,114.9,0.34908117563937135
555,2018-11-24 21:00:00,94.22342641693041,135.2,0.3030811655552484
556,2018-11-24 20:00:00,121.60413958078252,161.7,0.2479645047570654
557,2018-11-24 19:00:00,128.68578018991323,165.4,0.22197230840439403
558,2018-11-24 18:00:00,136.82681670342828,181.9,0.24779100218016342
559,2018-11-24 17:00:00,132.71340394981877,159.6,0.16846238126679966
560,2018-11-24 16:00:00,129.2057983516694,151.5,0.1471564465236344
561,2018-11-24 15:00:00,111.07704964723622,137.9,0.19451015484237696
562,2018-11-24 14:00:00,105.78961648539959,129.6,0.18372209502006484
563,2018-11-24 13:00:00,99.17145620892025,119.4,0.16941828970753567
564,2018-11-24 12:00:00,69.17312075103928,103.4,0.3310143060827923
565,2018-11-24 11:00:00,85.82500936041305,105.2,0.18417291482497106
566,2018-11-24 10:00:00,80.32791741398418,105.9,0.24147386766776036
567,2018-11-24 09:00:00,75.5922185638316,100.4,0.24708945653554193
568,2018-11-24 08:00:00,42.766582310485376,65.3,0.3450753091809284
569,2018-11-24 07:00:00,31.870227156957537,69.9,0.5440596973253571
570,2018-11-24 06:00:00,48.58064437665189,93.0,0.47762747982094744
571,2018-11-24 05:00:00,33.34071857707178,86.4,0.6141120535061136
572,2018-11-24 04:00:00,21.388053253036304,61.1,0.6499500285918772
