,时间,小瓦窑村,小瓦窑村_root,相对偏差
514,2018-11-26 14:00:00,213.98620708303665,112.9,0.8953605587514317
515,2018-11-26 13:00:00,199.78626015789862,111.8,0.7869969602674296
516,2018-11-26 12:00:00,226.70413986651565,122.9,0.8446227816640817
517,2018-11-26 11:00:00,236.29855826086515,127.7,0.850419406897926
518,2018-11-26 10:00:00,237.0043384970279,140.7,0.6844658031060975
519,2018-11-26 09:00:00,193.8587889127577,116.2,0.6683200422784654
520,2018-11-26 08:00:00,176.96441521262747,112.6,0.5716200285313275
521,2018-11-26 07:00:00,174.84092785216052,107.8,0.6219010004838639
522,2018-11-26 06:00:00,161.68990305320517,93.4,0.7311552789422394
523,2018-11-26 05:00:00,134.57284013533135,70.9,0.8980654461964928
524,2018-11-26 04:00:00,112.36624883425563,64.4,0.7448175284822302
525,2018-11-26 03:00:00,116.72949663508408,66.8,0.7474475544174264
526,2018-11-26 02:00:00,130.82170843724296,76.1,0.719076326376386
527,2018-11-26 01:00:00,137.10580785541433,81.9,0.6740635879781968
528,2018-11-26 00:00:00,132.53624221229023,83.7,0.5834676488923564
529,2018-11-25 23:00:00,133.30206033911318,75.4,0.7679318347362489
530,2018-11-25 22:00:00,128.8866351804492,74.8,0.7230833580273957
531,2018-11-25 21:00:00,122.77686298766453,69.5,0.766573568167835
532,2018-11-25 20:00:00,113.38314016785652,69.2,0.6384846845065971
533,2018-11-25 19:00:00,106.72741005298276,67.4,0.5834927307564207
534,2018-11-25 18:00:00,90.50734725282915,57.3,0.5795348560703169
535,2018-11-25 17:00:00,86.00207000826735,53.1,0.619624670588839
536,2018-11-25 16:00:00,82.93115325892737,51.2,0.619749087088425
537,2018-11-25 15:00:00,77.49184262149333,52.2,0.48451805788301394
538,2018-11-25 14:00:00,83.84898331707792,50.4,0.6636703039102763
539,2018-11-25 13:00:00,96.67336209144658,63.3,0.5272253095015258
540,2018-11-25 12:00:00,88.61114895874732,59.8,0.4817917886078148
541,2018-11-25 11:00:00,100.92310707096817,59.6,0.6933407226672511
542,2018-11-25 10:00:00,130.1300889933139,75.9,0.7144939261306179
543,2018-11-25 09:00:00,119.14170737001545,60.9,0.9563498747128975
544,2018-11-25 08:00:00,116.74519966010158,65.9,0.7715508294400845
545,2018-11-25 07:00:00,116.96310905780493,71.9,0.6267469966315009
546,2018-11-25 06:00:00,124.58291349630781,82.7,0.5064439358682927
547,2018-11-25 05:00:00,131.19463320043502,79.6,0.6481737839250632
548,2018-11-25 04:00:00,140.5970467724189,87.4,0.6086618623846556
549,2018-11-25 03:00:00,145.6591100278024,85.5,0.7036153219626011
550,2018-11-25 02:00:00,142.65176674722807,85.6,0.6664926021872439
551,2018-11-25 01:00:00,137.93429640266464,87.8,0.5710056537888912
552,2018-11-25 00:00:00,144.25863152787673,99.4,0.45129407975731106
553,2018-11-24 23:00:00,146.3705596803158,110.6,0.32342278191967283
554,2018-11-24 22:00:00,176.62195062603843,119.0,0.48421807248771787
555,2018-11-24 21:00:00,195.67194024246578,121.1,0.6157881110030206
556,2018-11-24 20:00:00,190.81242243315208,116.2,0.6421034632801383
557,2018-11-24 19:00:00,187.82099709612456,114.0,0.6475526061063558
558,2018-11-24 18:00:00,172.0350834261762,107.4,0.6018164192381394
