,时间,太平桥街道,太平桥街道_root,相对偏差
430,2018-11-30 02:00:00,81.81716793146153,80.9,0.011337057249215332
431,2018-11-30 01:00:00,77.5475963052892,74.2,0.04511585317101349
432,2018-11-30 00:00:00,76.99151396279333,74.0,0.040425864362072086
433,2018-11-29 23:00:00,76.29786936193265,69.2,0.10257036650191693
434,2018-11-29 22:00:00,69.98490331300636,66.4,0.053989507725999246
435,2018-11-29 21:00:00,67.58692994707022,64.6,0.0462373056822016
436,2018-11-29 20:00:00,66.3676796458061,63.6,0.04351697556298907
437,2018-11-29 19:00:00,66.71319788296353,63.0,0.058939648935929005
438,2018-11-29 18:00:00,66.65003184729323,61.8,0.07847947972966404
439,2018-11-29 17:00:00,71.1015579336705,67.0,0.061217282592097105
440,2018-11-29 16:00:00,71.27936941860247,66.0,0.07999044573640107
441,2018-11-29 15:00:00,65.82606012846142,60.9,0.080887686838447
442,2018-11-29 14:00:00,67.15237878179224,60.4,0.11179435069192448
443,2018-11-29 13:00:00,67.50236911423481,59.2,0.14024272152423659
444,2018-11-29 12:00:00,55.87967692814558,53.2,0.05036986707040555
445,2018-11-29 11:00:00,41.47797819759723,31.8,0.30433893703135945
447,2018-11-29 09:00:00,42.050873742375984,33.4,0.2590081958795205
448,2018-11-29 08:00:00,43.02486600127272,39.0,0.10320169234032615
449,2018-11-29 07:00:00,41.87372767016165,39.4,0.06278496624775763
450,2018-11-29 06:00:00,46.41055453354885,45.2,0.026782179945770892
451,2018-11-29 05:00:00,57.72940356177683,57.4,0.005738738010049281
452,2018-11-29 04:00:00,63.93077743198186,58.6,0.09096889815668699
453,2018-11-29 03:00:00,64.34164560710312,62.8,0.024548496928393643
454,2018-11-29 02:00:00,71.96230641356428,63.5,0.1332646679301461
455,2018-11-29 01:00:00,76.13586968569243,62.6,0.21622795025067773
456,2018-11-29 00:00:00,74.14662148099194,61.6,0.20367892014597302
457,2018-11-28 23:00:00,73.37824615383083,61.2,0.1989909502259939
458,2018-11-28 22:00:00,74.6511454776964,61.4,0.21581670159114666
459,2018-11-28 21:00:00,74.77036506348038,61.6,0.2138046276539023
460,2018-11-28 20:00:00,72.83203210398491,59.2,0.2302708125673127
461,2018-11-28 19:00:00,69.52052908787229,55.2,0.25942987478029506
462,2018-11-28 18:00:00,66.16644074158967,55.2,0.1986674047389432
463,2018-11-28 17:00:00,64.18273551708599,54.0,0.1885691762423331
464,2018-11-28 16:00:00,62.95152492645708,54.8,0.14875045486235558
465,2018-11-28 15:00:00,65.27100642241783,54.8,0.19107675953317207
466,2018-11-28 14:00:00,64.47523743692261,55.8,0.1554702049627709
467,2018-11-28 13:00:00,64.17175331318181,55.6,0.15416822505722677
468,2018-11-28 12:00:00,60.38303751833779,55.1,0.09588089869941534
469,2018-11-28 11:00:00,58.67187297765686,50.3,0.16643882659357584
470,2018-11-28 10:00:00,53.24441469333798,44.8,0.1884913994048657
471,2018-11-28 09:00:00,47.469809285565546,43.0,0.10394905315268711
472,2018-11-28 08:00:00,65.22259250191087,54.6,0.19455297622547374
473,2018-11-28 07:00:00,67.27237057894847,56.6,0.1885577840803616
474,2018-11-28 06:00:00,62.52597424268763,53.2,0.17530026771969226
475,2018-11-28 05:00:00,62.720099798703316,54.6,0.14871977653302773
476,2018-11-28 04:00:00,60.807973470523585,53.3,0.14086254166085532
477,2018-11-28 03:00:00,58.74458123670458,50.4,0.16556708802985287
478,2018-11-28 02:00:00,54.940667356707124,48.1,0.14221761656355764
479,2018-11-28 01:00:00,52.12235528571623,44.2,0.17923880736914544
480,2018-11-28 00:00:00,55.421403896790174,42.4,0.30710858247146644
481,2018-11-27 23:00:00,56.147257354248254,41.3,0.359497756761459
482,2018-11-27 22:00:00,48.85749778380021,38.4,0.2723306714531306
483,2018-11-27 21:00:00,45.20079762974636,32.3,0.3994054993729525
502,2018-11-27 02:00:00,103.42612382839134,43.4,1.3830904107924273
503,2018-11-27 01:00:00,139.00724004129353,71.3,0.9496106597656877
504,2018-11-27 00:00:00,251.49547678741965,222.9,0.12828836602700602
505,2018-11-26 23:00:00,292.25055035165735,299.2,0.023226770215048917
506,2018-11-26 22:00:00,314.27025247625363,334.8,0.06131943704822694
507,2018-11-26 21:00:00,323.10783729894064,344.3,0.06155144554475566
508,2018-11-26 20:00:00,312.1420330825555,307.0,0.016749293428519496
509,2018-11-26 19:00:00,296.2243460033427,284.8,0.040113574449939224
510,2018-11-26 18:00:00,265.6081668418901,230.8,0.1508152809440646
511,2018-11-26 17:00:00,221.41936757840472,203.2,0.08966224201970832
512,2018-11-26 16:00:00,222.9787632256443,205.2,0.08664114632380263
513,2018-11-26 15:00:00,234.46498811382335,226.8,0.03379624388810997
514,2018-11-26 14:00:00,277.06838794972316,264.4,0.047913721443733674
515,2018-11-26 13:00:00,289.0095170325584,297.9,0.029843850176037547
516,2018-11-26 12:00:00,270.83305522126847,274.4,0.01299906989333641
517,2018-11-26 11:00:00,274.295329988665,295.4,0.07144438053938719
518,2018-11-26 10:00:00,236.38490093119353,279.3,0.15365234181455956
519,2018-11-26 09:00:00,211.13814037269623,247.1,0.14553565207326494
520,2018-11-26 08:00:00,172.22800482697116,195.3,0.1181361760011718
521,2018-11-26 07:00:00,166.0715494166509,174.8,0.049933927822363354
522,2018-11-26 06:00:00,160.43051678436785,172.5,0.06996801864134577
523,2018-11-26 05:00:00,178.50266938130517,181.0,0.01379740673312062
524,2018-11-26 04:00:00,190.8880701222654,190.8,0.00046158345002818844
