,时间,云岗街道,云岗街道_root,相对偏差
189,2018-12-10 03:00:00,64.9346551229961,56.4,0.151323672393548
190,2018-12-10 02:00:00,67.84205211757198,56.8,0.19440232601359128
191,2018-12-10 01:00:00,68.91574170059809,60.0,0.14859569500996817
192,2018-12-10 00:00:00,84.86060831647676,59.5,0.42622871120129
193,2018-12-09 23:00:00,101.87661173898954,59.4,0.7150944737203626
194,2018-12-09 22:00:00,113.56407569626953,91.2,0.24522012824856934
195,2018-12-09 21:00:00,109.9688691531431,104.5,0.052333676106632566
196,2018-12-09 20:00:00,109.06049264716474,101.7,0.07237455896917142
197,2018-12-09 19:00:00,101.40034832489786,97.2,0.04321346013269403
198,2018-12-09 18:00:00,86.29314315997468,85.6,0.008097466822134131
199,2018-12-09 17:00:00,62.46351088380184,65.1,0.04049906476494864
200,2018-12-09 16:00:00,54.232121316774816,58.5,0.07295519116624247
201,2018-12-09 15:00:00,58.334172851210894,58.1,0.004030513790204697
202,2018-12-09 14:00:00,49.995490029339194,51.6,0.031095154470170677
203,2018-12-09 13:00:00,47.40308732173456,51.4,0.07776094704796573
204,2018-12-09 12:00:00,38.214313879947014,42.8,0.1071421990666585
205,2018-12-09 11:00:00,34.650996459248596,41.9,0.17300724440934137
211,2018-12-09 05:00:00,15.383492994809542,30.8,0.5005359417269629
213,2018-12-09 03:00:00,24.324397270669696,43.9,0.4459135018070684
214,2018-12-09 02:00:00,24.06986073277293,45.8,0.4744571892407657
215,2018-12-09 01:00:00,24.544794134512717,42.5,0.42247543212911254
217,2018-12-08 23:00:00,42.571779478363,43.4,0.019083422157534568
218,2018-12-08 22:00:00,21.294958734912175,45.7,0.5340271611616593
219,2018-12-08 21:00:00,20.055008203564576,40.3,0.5023571165368591
220,2018-12-08 20:00:00,18.749611808678473,32.9,0.4301029845386482
221,2018-12-08 19:00:00,18.142135699618713,31.2,0.4185212916788874
287,2018-12-06 01:00:00,52.914132117630004,40.4,0.30975574548589124
288,2018-12-06 00:00:00,64.49006450474769,46.9,0.3750546802718059
289,2018-12-05 23:00:00,69.43260341345926,45.8,0.5159957077174512
290,2018-12-05 22:00:00,65.02580659269827,47.7,0.36322445686998467
291,2018-12-05 21:00:00,70.07210367134917,52.8,0.3271231755937343
292,2018-12-05 20:00:00,71.20057529601753,58.7,0.21295698971069046
293,2018-12-05 19:00:00,73.93645700582087,61.2,0.20811204257877233
294,2018-12-05 18:00:00,69.93254358648797,58.5,0.1954280954955208
295,2018-12-05 17:00:00,66.93523301008287,54.2,0.23496739871001596
296,2018-12-05 16:00:00,62.40190220224262,52.5,0.18860766099509746
297,2018-12-05 15:00:00,60.55224411450631,51.5,0.17577173037876326
298,2018-12-05 14:00:00,56.174092185795054,44.1,0.2737889384534025
299,2018-12-05 13:00:00,50.23996156184701,40.2,0.2497502876081345
300,2018-12-05 12:00:00,44.52806726912513,36.4,0.22329855134959156
301,2018-12-05 11:00:00,37.970862019110726,30.0,0.2656954006370242
357,2018-12-03 03:00:00,125.04579052455017,62.8,0.9911750083527098
358,2018-12-03 02:00:00,177.56779453378044,113.6,0.5630967828677856
359,2018-12-03 01:00:00,179.29276554091007,130.4,0.3749445210192489
360,2018-12-03 00:00:00,190.62994848760465,126.2,0.5105384190776914
361,2018-12-02 23:00:00,177.8504317133887,131.3,0.3545348949991522
363,2018-12-02 21:00:00,212.47839349963536,146.5,0.4503644607483642
364,2018-12-02 20:00:00,224.75102561405348,147.5,0.5237357668749388
365,2018-12-02 19:00:00,224.65778423044924,157.6,0.4254935547617338
366,2018-12-02 18:00:00,228.34881494817884,159.6,0.43075698589084493
367,2018-12-02 17:00:00,225.8638395362019,163.2,0.3839696050012373
368,2018-12-02 16:00:00,232.34418067617426,168.5,0.3788972146953962
369,2018-12-02 15:00:00,220.95874237335374,171.0,0.2921563881482675
370,2018-12-02 14:00:00,201.06171057182283,166.8,0.2054059386799929
371,2018-12-02 13:00:00,196.8289769853544,170.8,0.1523944788369694
372,2018-12-02 12:00:00,182.34208657444174,162.8,0.12003738682089511
373,2018-12-02 11:00:00,184.60681171937907,169.5,0.08912573285769361
374,2018-12-02 10:00:00,187.4806762342371,166.6,0.12533419108185542
375,2018-12-02 09:00:00,186.4140404733504,163.3,0.14154341992253766
376,2018-12-02 08:00:00,189.1042162578436,151.9,0.24492571598317048
377,2018-12-02 07:00:00,195.0852384790462,154.9,0.25942697533277087
378,2018-12-02 06:00:00,198.04330020194365,159.9,0.2385447167100916
379,2018-12-02 05:00:00,195.7542788388462,167.2,0.17077917965817116
380,2018-12-02 04:00:00,205.97794019406484,170.9,0.20525418486872343
381,2018-12-02 03:00:00,211.03208982191495,180.5,0.1691528521989748
382,2018-12-02 02:00:00,234.90969586002214,180.3,0.30288239523029464
383,2018-12-02 01:00:00,225.4112340388788,177.4,0.2706382978516279
384,2018-12-02 00:00:00,221.47312673365366,179.7,0.23246036023179562
385,2018-12-01 23:00:00,219.4276816929773,175.6,0.24958816453859514
386,2018-12-01 22:00:00,227.46292390639383,181.4,0.2539301207629207
387,2018-12-01 21:00:00,223.82685612434264,186.8,0.19821657454144875
388,2018-12-01 20:00:00,221.77117842489042,186.1,0.19167747675921779
389,2018-12-01 19:00:00,219.76207377105388,178.1,0.23392517558143675
390,2018-12-01 18:00:00,214.92448658736694,186.2,0.1542668452597581
391,2018-12-01 17:00:00,204.8456897440309,168.9,0.21282231938443388
392,2018-12-01 16:00:00,185.09535730840813,150.6,0.22905283737322799
393,2018-12-01 15:00:00,169.82137464998115,146.2,0.16156891005459073
