,时间,南苑乡,南苑乡_root,相对偏差
306,2018-12-05 06:00:00,42.486717097193804,38.1,0.1151369316848767
307,2018-12-05 05:00:00,37.79046944711252,36.4,0.03819971008550886
308,2018-12-05 04:00:00,38.348351661788605,32.0,0.19838598943089392
309,2018-12-05 03:00:00,34.45957465725141,31.4,0.09743868335195574
357,2018-12-03 03:00:00,91.42568859111392,34.1,1.681105237276068
358,2018-12-03 02:00:00,136.77110581159639,83.7,0.6340633908195505
359,2018-12-03 01:00:00,161.95874171782842,138.2,0.17191564195244885
360,2018-12-03 00:00:00,158.884528508103,167.1,0.049164999951508116
361,2018-12-02 23:00:00,158.7299002636239,158.7,0.0001884074582477327
363,2018-12-02 21:00:00,140.07497942248443,154.2,0.0916019492705289
364,2018-12-02 20:00:00,146.1619569239914,155.2,0.05823481363407598
365,2018-12-02 19:00:00,142.60663213260193,154.0,0.07398290822985759
366,2018-12-02 18:00:00,150.45268374231142,158.8,0.0525649638393488
367,2018-12-02 17:00:00,162.14890662468727,157.1,0.03213817074912334
368,2018-12-02 16:00:00,157.68482560657313,155.3,0.015356249881346531
369,2018-12-02 15:00:00,153.44486052907152,158.8,0.03372254074891997
370,2018-12-02 14:00:00,152.94550747479582,165.4,0.07529922929385845
371,2018-12-02 13:00:00,135.09504553155512,157.2,0.14061675870512008
372,2018-12-02 12:00:00,130.04209570163243,148.5,0.12429565184085903
373,2018-12-02 11:00:00,120.79666783506624,143.0,0.15526805709743885
374,2018-12-02 10:00:00,109.54057996596565,134.2,0.18375126701963
375,2018-12-02 09:00:00,112.64882484824128,144.5,0.22042335745161748
376,2018-12-02 08:00:00,110.88043112979538,148.2,0.251818953240247
377,2018-12-02 07:00:00,124.87631432512238,161.6,0.22725053016632188
378,2018-12-02 06:00:00,145.57898123836367,167.9,0.1329423392592992
379,2018-12-02 05:00:00,146.37458204632748,166.8,0.1224545440867658
380,2018-12-02 04:00:00,157.4807411932909,175.0,0.10011005032405203
381,2018-12-02 03:00:00,171.3497524743005,172.9,0.008966151102946896
382,2018-12-02 02:00:00,173.85042289468322,172.4,0.008413125839229782
383,2018-12-02 01:00:00,168.55405424904336,171.7,0.018322339842496378
384,2018-12-02 00:00:00,173.6572717589416,173.6,0.0003299064455161052
385,2018-12-01 23:00:00,168.54392572269666,171.2,0.015514452554341897
386,2018-12-01 22:00:00,166.63746851417332,168.9,0.01339568671300583
387,2018-12-01 21:00:00,157.64647756772482,164.9,0.043987401044725226
388,2018-12-01 20:00:00,140.88366874765896,153.9,0.08457655134724526
389,2018-12-01 19:00:00,176.98930642439078,151.3,0.16979052494640293
390,2018-12-01 18:00:00,155.20354942331397,166.6,0.06840606588647072
391,2018-12-01 17:00:00,165.2670154292369,177.5,0.06891822293387666
392,2018-12-01 16:00:00,156.716069088704,166.4,0.05819670018807702
393,2018-12-01 15:00:00,149.19358026261068,154.0,0.031210517775255322
394,2018-12-01 14:00:00,158.25080014100632,152.8,0.03567277579192612
395,2018-12-01 13:00:00,151.80448294957324,147.2,0.03128045482047047
396,2018-12-01 12:00:00,145.29387690872795,132.8,0.09408039840909593
397,2018-12-01 11:00:00,129.5904857004954,117.2,0.10572086775166727
398,2018-12-01 10:00:00,106.4628094509357,102.0,0.04375303383270288
399,2018-12-01 09:00:00,94.26558162872274,104.4,0.09707297290495462
400,2018-12-01 08:00:00,90.72320603944243,102.3,0.11316514135442392
401,2018-12-01 07:00:00,91.44591522563624,106.9,0.1445658070567237
402,2018-12-01 06:00:00,91.53362614040087,113.9,0.19636851500965
403,2018-12-01 05:00:00,82.56326069683513,123.1,0.3292992632263596
404,2018-12-01 04:00:00,102.77626286055974,143.3,0.28278951248737105
405,2018-12-01 03:00:00,117.40368615622712,154.2,0.23862719743043365
406,2018-12-01 02:00:00,139.95815161277483,152.0,0.07922268675806035
407,2018-12-01 01:00:00,134.31840997513154,149.5,0.10154909715631075
408,2018-12-01 00:00:00,137.2455534847638,154.3,0.11052784520567858
409,2018-11-30 23:00:00,145.43874556872518,152.5,0.046303307746064386
410,2018-11-30 22:00:00,133.3649582529025,143.6,0.07127466397700198
