,时间,小屯公园,小屯公园_root,相对偏差
299,2018-12-05 13:00:00,49.08219470302017,30.2,0.6252382351993434
300,2018-12-05 12:00:00,42.204272656741516,33.2,0.27121303182956363
301,2018-12-05 11:00:00,36.91924540907834,31.9,0.15734311627204842
304,2018-12-05 08:00:00,50.735947762441654,31.8,0.5954700554226935
305,2018-12-05 07:00:00,54.89118649184528,46.8,0.1728886002531044
306,2018-12-05 06:00:00,52.201807912361836,58.4,0.10613342615818772
307,2018-12-05 05:00:00,48.682594872511466,47.7,0.02059947321826966
308,2018-12-05 04:00:00,45.56754438720779,44.5,0.023989761510287397
309,2018-12-05 03:00:00,50.8736375430928,42.2,0.20553643467044536
310,2018-12-05 02:00:00,46.36797794058633,41.7,0.11194191704043946
311,2018-12-05 01:00:00,50.49348553136174,43.4,0.16344436708206783
312,2018-12-05 00:00:00,48.58437593570063,30.0,0.6194791978566876
313,2018-12-04 23:00:00,48.94297769003944,41.0,0.1937311631716937
314,2018-12-04 22:00:00,53.44761858332996,47.2,0.1323648004942788
339,2018-12-03 21:00:00,44.665912190707715,30.0,0.48886373969025715
340,2018-12-03 20:00:00,45.65887677011321,33.2,0.37526737259377124
341,2018-12-03 19:00:00,47.3809394149052,31.8,0.48996664826745906
343,2018-12-03 17:00:00,40.13095882237522,34.3,0.16999879948615812
344,2018-12-03 16:00:00,52.6661881697425,30.3,0.7381580254040427
345,2018-12-03 15:00:00,46.60274109896133,35.2,0.32394150849321957
346,2018-12-03 14:00:00,50.517425227392586,40.6,0.2442715573249405
347,2018-12-03 13:00:00,56.529691053118356,48.2,0.17281516707714423
348,2018-12-03 12:00:00,58.32145484879777,50.0,0.16642909697595543
349,2018-12-03 11:00:00,65.24067659525355,60.3,0.08193493524466915
350,2018-12-03 10:00:00,66.57963169442611,75.0,0.11227157740765184
351,2018-12-03 09:00:00,76.72617764299747,80.5,0.04687978083232956
352,2018-12-03 08:00:00,78.24207154630687,90.4,0.1344903590010302
353,2018-12-03 07:00:00,71.17082273316102,100.5,0.2918326096202884
354,2018-12-03 06:00:00,77.37903795554615,112.9,0.3146232244858623
355,2018-12-03 05:00:00,79.4566289903658,125.5,0.36687945027596974
356,2018-12-03 04:00:00,76.93905341637415,137.2,0.43921972728590264
357,2018-12-03 03:00:00,91.52617817100014,139.6,0.34436835121060067
358,2018-12-03 02:00:00,150.36540492401934,157.2,0.04347706791336288
359,2018-12-03 01:00:00,193.7380402142494,176.5,0.09766595022237617
360,2018-12-03 00:00:00,232.37142420001695,178.8,0.29961646644304774
361,2018-12-02 23:00:00,266.046011404173,178.7,0.48878573813191384
363,2018-12-02 21:00:00,251.3876256950361,194.5,0.2924813660413167
364,2018-12-02 20:00:00,245.57074860083648,202.1,0.21509524295317412
365,2018-12-02 19:00:00,236.3998820879965,222.5,0.0624713801707708
366,2018-12-02 18:00:00,238.93600162636363,251.0,0.04806373854038393
367,2018-12-02 17:00:00,226.2756145189587,230.8,0.019603056676955465
368,2018-12-02 16:00:00,220.6763152720964,208.4,0.0589074629179289
369,2018-12-02 15:00:00,219.06781934036533,191.6,0.1433602262023243
370,2018-12-02 14:00:00,216.51153019391853,185.0,0.17033259564280287
371,2018-12-02 13:00:00,215.8080591992955,187.1,0.1534369812896607
372,2018-12-02 12:00:00,208.3872097047311,193.8,0.07526939992121308
373,2018-12-02 11:00:00,207.91003349783074,202.9,0.02469213158122589
374,2018-12-02 10:00:00,205.666620525601,193.9,0.060683963515219104
375,2018-12-02 09:00:00,203.01926128230608,173.9,0.16744831099658464
376,2018-12-02 08:00:00,205.90298834833973,188.1,0.09464640270249729
377,2018-12-02 07:00:00,205.30107969981475,183.6,0.1181976018508429
378,2018-12-02 06:00:00,206.42865903783286,195.6,0.05536124252470789
379,2018-12-02 05:00:00,197.79091750430572,202.8,0.02469961782886729
380,2018-12-02 04:00:00,176.7111888713826,206.9,0.14591015528572934
381,2018-12-02 03:00:00,199.78220934821206,220.1,0.09231163403810964
382,2018-12-02 02:00:00,216.91354520229137,232.3,0.06623527678738113
383,2018-12-02 01:00:00,223.33747676474692,216.3,0.032535722444507226
384,2018-12-02 00:00:00,231.56959466132355,218.7,0.05884588322507344
385,2018-12-01 23:00:00,235.56612917622098,224.7,0.04835838529693367
386,2018-12-01 22:00:00,234.85130542608476,210.4,0.11621342883120132
387,2018-12-01 21:00:00,230.67188425821928,223.1,0.033939418459073445
388,2018-12-01 20:00:00,239.51101755162534,225.8,0.06072195549878358
389,2018-12-01 19:00:00,239.9669242762699,233.9,0.025938111484693892
390,2018-12-01 18:00:00,249.56265049004656,226.9,0.0998794644779487
391,2018-12-01 17:00:00,249.19020767793475,208.8,0.19343969194413188
392,2018-12-01 16:00:00,222.2708722005546,174.2,0.27595219403303456
393,2018-12-01 15:00:00,202.17857225400522,162.4,0.24494194737687938
394,2018-12-01 14:00:00,201.96717555175834,159.9,0.2630842748702835
395,2018-12-01 13:00:00,201.3731848329067,146.0,0.37926838926648426
396,2018-12-01 12:00:00,195.00764776628273,121.9,0.5997346002156089
397,2018-12-01 11:00:00,141.22506090540412,80.4,0.7565306082761706
398,2018-12-01 10:00:00,105.95368050707759,78.4,0.3514500064678263
399,2018-12-01 09:00:00,105.05721756484245,86.0,0.22159555307956333
400,2018-12-01 08:00:00,103.11422388047454,91.5,0.12693140852977638
401,2018-12-01 07:00:00,105.3764770150134,86.7,0.21541495980407616
402,2018-12-01 06:00:00,106.62665068207019,92.5,0.15272054791427234
403,2018-12-01 05:00:00,112.77219569786037,99.7,0.13111530288726544
404,2018-12-01 04:00:00,119.66651417666507,102.5,0.16747818708941536
405,2018-12-01 03:00:00,123.43934367407964,106.6,0.15796757667992162
406,2018-12-01 02:00:00,129.0656418094175,119.4,0.08095177394822033
407,2018-12-01 01:00:00,135.34372566829035,128.4,0.05407886034494035
408,2018-12-01 00:00:00,129.1921197308899,138.0,0.06382521934137744
409,2018-11-30 23:00:00,147.61024970035976,143.5,0.02864285505477184
410,2018-11-30 22:00:00,162.5513022308195,154.2,0.05415889903255188
411,2018-11-30 21:00:00,168.93137808234158,148.6,0.1368195025729582
412,2018-11-30 20:00:00,165.4800082946055,149.6,0.1061497880655449
413,2018-11-30 19:00:00,159.8294847987164,134.8,0.18567867061362311
414,2018-11-30 18:00:00,160.05822348059527,119.1,0.3438977622216228
