,时间,花乡,花乡_root,相对偏差
204,2018-12-09 12:00:00,62.99667436418283,50.1,0.2574186499836892
205,2018-12-09 11:00:00,73.65564574899729,62.3,0.1822736075280464
206,2018-12-09 10:00:00,34.52741946604618,62.4,0.4466759700954137
207,2018-12-09 09:00:00,39.21588700023721,74.9,0.47642340453621884
208,2018-12-09 08:00:00,30.988333756092246,74.1,0.5818038629407254
209,2018-12-09 07:00:00,31.97036478877234,73.1,0.5626489084983263
210,2018-12-09 06:00:00,35.40378768874553,74.6,0.5254183955932235
212,2018-12-09 04:00:00,42.68516839792233,66.7,0.36004245280476266
213,2018-12-09 03:00:00,30.774286186164513,64.1,0.5199019315730964
214,2018-12-09 02:00:00,41.11958874792046,65.5,0.37222001911571817
215,2018-12-09 01:00:00,37.054535458358544,60.2,0.3844761551767684
217,2018-12-08 23:00:00,45.323692436359494,49.4,0.08251634744211549
218,2018-12-08 22:00:00,19.92885088099266,46.4,0.5704989034268824
219,2018-12-08 21:00:00,19.56593510888111,42.9,0.5439175965295778
220,2018-12-08 20:00:00,17.68917664974721,33.6,0.473536409233714
286,2018-12-06 02:00:00,68.85447966707784,33.6,1.0492404662820785
287,2018-12-06 01:00:00,88.1806595646332,54.8,0.6091361234422118
288,2018-12-06 00:00:00,87.06906716666916,54.6,0.5946715598291054
289,2018-12-05 23:00:00,88.44708575174505,53.0,0.6688129387121707
290,2018-12-05 22:00:00,94.00898564886833,62.4,0.5065542571934027
291,2018-12-05 21:00:00,98.14194643925579,64.0,0.5334679131133717
292,2018-12-05 20:00:00,92.8506758764743,61.0,0.5221422274831852
293,2018-12-05 19:00:00,91.14618065991857,59.2,0.539631430066192
294,2018-12-05 18:00:00,83.80791974072847,57.5,0.4575290389691907
295,2018-12-05 17:00:00,81.30351818973023,54.2,0.5000649112496351
296,2018-12-05 16:00:00,84.51400476468172,52.5,0.6097905669463184
297,2018-12-05 15:00:00,73.81082769808016,48.1,0.5345286423717288
298,2018-12-05 14:00:00,68.74412738870225,45.5,0.5108599426088407
299,2018-12-05 13:00:00,72.26909664164603,47.4,0.5246644861106757
300,2018-12-05 12:00:00,64.76383149500269,49.2,0.31633803851631476
301,2018-12-05 11:00:00,58.74007423851109,42.7,0.37564576670986155
302,2018-12-05 10:00:00,71.5969281046536,42.2,0.6966096707263885
304,2018-12-05 08:00:00,70.18033630958516,45.2,0.5526623077341848
305,2018-12-05 07:00:00,65.52010956427145,44.3,0.479009245243148
306,2018-12-05 06:00:00,66.6395760136956,36.5,0.8257418085944
307,2018-12-05 05:00:00,61.84026525933754,31.1,0.9884329665381846
309,2018-12-05 03:00:00,53.79990778084007,33.5,0.6059673964429872
357,2018-12-03 03:00:00,101.66415874058193,31.1,2.268944010951187
358,2018-12-03 02:00:00,138.8334244130208,49.2,1.8218175693703411
359,2018-12-03 01:00:00,173.26387937634698,72.7,1.3832720684504398
360,2018-12-03 00:00:00,183.9653194341048,85.6,1.1491275634825329
361,2018-12-02 23:00:00,220.00414157169072,89.4,1.4608964381620886
363,2018-12-02 21:00:00,202.8182050246324,92.3,1.197380336128195
364,2018-12-02 20:00:00,193.69366394978826,93.0,1.082727569352562
365,2018-12-02 19:00:00,194.16924052108314,89.2,1.1767852076354612
366,2018-12-02 18:00:00,193.73246421531508,85.0,1.279205461356648
367,2018-12-02 17:00:00,178.9156108173581,96.7,0.850213141854789
368,2018-12-02 16:00:00,181.73377672984242,99.6,0.8246363125486188
369,2018-12-02 15:00:00,186.41001094729123,98.5,0.8924874207846825
370,2018-12-02 14:00:00,176.023852821971,93.6,0.8805967181834509
371,2018-12-02 13:00:00,178.0906292003004,99.5,0.7898555698522655
372,2018-12-02 12:00:00,178.7404734379762,107.5,0.6627020784928018
373,2018-12-02 11:00:00,172.11976245813105,99.5,0.7298468588756889
374,2018-12-02 10:00:00,171.4615110164665,106.2,0.614515169646577
375,2018-12-02 09:00:00,176.94011787529269,105.6,0.6755692980614838
376,2018-12-02 08:00:00,173.30232029482278,107.2,0.6166261221531976
377,2018-12-02 07:00:00,172.52905007511265,92.2,0.8712478316172738
378,2018-12-02 06:00:00,172.47765444649684,90.8,0.8995336392785996
379,2018-12-02 05:00:00,161.29285083689976,85.5,0.8864660916596463
380,2018-12-02 04:00:00,152.22977376928935,78.8,0.931849920930068
381,2018-12-02 03:00:00,153.28143928780383,83.5,0.8357058597341777
382,2018-12-02 02:00:00,173.43841517129707,92.2,0.8811107936149356
